x1,x2,x3,label
0.7421,0.0042,0.5964,0
0.197,0.4895,0.5665,0
0.7651,0.6552,0.9529,1
0.2714,0.7224,0.3108,0
0.0748,0.4531,0.136,0
0.1762,0.6601,0.6423,0
0.6991,0.3686,0.044,0
0.5522,0.4837,0.5743,1
0.0657,0.0256,0.0233,0
0.1928,0.5358,0.1328,0
0.5532,0.3138,0.0236,0
0.2322,0.1052,0.7257,0
0.1242,0.1077,0.8683,0
0.2419,0.4539,0.9876,0
0.3876,0.9025,0.8833,1
0.5844,0.6223,0.7014,1
0.3899,0.2443,0.4881,0
0.766,0.282,0.0179,0
0.2279,0.0321,0.182,0
0.2633,0.0361,0.1424,0
0.6708,0.7494,0.3067,1
0.3627,0.734,0.79,1
0.3661,0.9112,0.8543,1
0.339,0.8055,0.8421,1
0.3484,0.1254,0.1367,0
0.5011,0.2215,0.8269,0
0.0086,0.8782,0.0276,0
0.4859,0.1553,0.5021,0
0.8427,0.007,0.2708,0
0.3381,0.8036,0.4733,0
0.7344,0.4033,0.8247,1
0.1349,0.8222,0.9635,0
0.4732,0.1112,0.5534,0
0.8237,0.7525,0.5881,1
0.7048,0.3159,0.9215,1
0.1487,0.7468,0.4567,0
0.4785,0.2669,0.2406,0
0.5007,0.4566,0.9903,1
0.5842,0.4587,0.2824,0
0.9028,0.5005,0.1663,1
0.4207,0.7605,0.8072,1
0.239,0.4394,0.3686,0
0.3053,0.6377,0.0561,0
0.737,0.1296,0.1263,0
0.757,0.9355,0.0864,1
0.0508,0.8812,0.0923,0
0.1585,0.3698,0.9062,0
0.7085,0.8895,0.7952,1
0.8334,0.3847,0.0145,0
0.6324,0.5201,0.4702,1
0.0041,0.4444,0.7023,0
0.3965,0.716,0.5635,0
0.9533,0.2407,0.7862,1
0.0897,0.1315,0.0043,0
0.7151,0.9318,0.8786,1
0.9954,0.8826,0.698,1
0.6479,0.3472,0.8266,1
0.9351,0.8585,0.0932,1
0.5104,0.4523,0.0738,0
0.4769,0.7182,0.9241,1
0.8419,0.3275,0.876,1
0.9433,0.8539,0.7083,1
0.1336,0.9744,0.8849,1
0.9345,0.6052,0.1473,1
0.1716,0.8074,0.4976,0
0.5632,0.2217,0.252,0
0.8062,0.3617,0.0962,1
0.7991,0.9085,0.9557,1
0.4154,0.6318,0.8162,1
0.7285,0.2335,0.0463,0
0.6703,0.2345,0.7047,0
0.9718,0.8136,0.2183,1
0.5738,0.6025,0.8806,1
0.9968,0.886,0.1454,1
0.8675,0.6906,0.7725,1
0.4432,0.3394,0.7558,0
0.0611,0.2419,0.3869,0
0.0961,0.2279,0.2625,0
0.6414,0.3222,0.0027,0
0.3842,0.1986,0.1396,0
0.1663,0.7965,0.0462,0
0.5791,0.5347,0.6283,1
0.8574,0.552,0.238,1
0.2354,0.9893,0.3703,0
0.4613,0.0381,0.7964,0
0.7955,0.8667,0.1517,1
0.7878,0.5502,0.0753,0
0.6995,0.8272,0.3965,1
0.4753,0.0886,0.2779,0
0.2267,0.9595,0.1495,0
0.872,0.0118,0.8651,1
0.8792,0.678,0.3882,1
0.1032,0.3577,0.6577,0
