x1,x2,x3,label
0.4509,0.7572,0.8353,1
0.4938,0.0434,0.43,0
0.9903,0.7479,0.6797,1
0.8871,0.0564,0.4358,0
0.4487,0.6309,0.5083,1
0.1061,0.2253,0.23,0
0.641,0.0139,0.8012,0
0.6132,0.5182,0.5435,1
0.1012,0.211,0.3655,0
0.4391,0.7343,0.9751,1
0.283,0.3224,0.9819,0
0.5498,0.7199,0.3334,1
0.3027,0.4975,0.2097,0
0.6252,0.7005,0.4132,1
0.3828,0.6949,0.4127,1
0.5798,0.2585,0.5954,0
0.8676,0.5058,0.4429,1
0.354,0.9142,0.0863,1
0.0555,0.3662,0.0584,0
0.7231,0.5911,0.9721,1
0.149,0.3368,0.3086,0
0.0802,0.5403,0.7841,0
0.3295,0.5142,0.8126,0
0.1307,0.0194,0.5683,0
0.6328,0.8888,0.6006,1
0.2958,0.8434,0.7956,1
0.5021,0.0157,0.5523,0
0.4199,0.0295,0.9652,0
0.0718,0.1694,0.1455,0
0.9967,0.6695,0.0107,1
0.0327,0.1599,0.5866,0
0.4193,0.6646,0.2747,1
0.7382,0.4834,0.9517,1
0.7143,0.029,0.3115,0
0.2393,0.8236,0.3932,1
0.9388,0.7055,0.1604,1
0.6136,0.1711,0.5466,0
0.5753,0.0489,0.4844,0
0.5028,0.2047,0.7167,0
0.7052,0.5582,0.539,1
0.413,0.5325,0.4837,0
0.9632,0.5945,0.6456,1
0.2303,0.1687,0.9286,0
0.1871,0.9767,0.8524,1
0.7707,0.6256,0.1726,1
0.2367,0.2524,0.1081,0
0.0568,0.8635,0.2332,0
0.8539,0.9407,0.3683,1
0.3151,0.341,0.5259,0
0.1883,0.9263,0.0998,1
0.9433,0.3546,0.7635,1
0.665,0.7279,0.268,1
0.0126,0.0252,0.8895,0
0.3908,0.06,0.5201,0
0.6422,0.6703,0.4195,1
0.9047,0.4738,0.8832,1
0.5497,0.9686,0.1482,1
0.0123,0.269,0.4222,0
0.8883,0.0892,0.773,1
0.2655,0.5323,0.4816,0
0.3293,0.6533,0.2015,1
0.9601,0.1586,0.0348,1
0.4143,0.0954,0.8453,0
0.3712,0.8306,0.1935,1
0.6201,0.2324,0.1392,0
0.1001,0.9141,0.6627,1
0.2273,0.5798,0.6317,0
0.8723,0.5319,0.9242,1
0.8077,0.4709,0.382,1
0.2364,0.0799,0.3545,0
0.2196,0.7549,0.3615,1
0.6004,0.0727,0.9389,0
0.6069,0.194,0.6632,0
0.5229,0.9501,0.4627,1
0.1494,0.8218,0.5499,1
0.3547,0.0038,0.0123,0
0.0018,0.9553,0.7208,1
0.1524,0.8304,0.9121,1
0.037,0.4702,0.0505,0
0.2526,0.3685,0.6968,0
