x1,x2,x3,label
0.8534,0.7495,0.8504,1
0.5112,0.4489,0.3319,0
0.4828,0.8073,0.0694,0
0.6921,0.0803,0.9536,1
0.0195,0.455,0.6446,0
0.8322,0.643,0.9902,1
0.8168,0.0609,0.4088,1
0.5213,0.8549,0.9162,1
0.5915,0.627,0.5724,1
0.2427,0.6547,0.2166,0
0.0163,0.6265,0.2387,0
0.911,0.8543,0.8579,1
0.0883,0.207,0.9421,0
0.1355,0.9758,0.0991,0
0.5914,0.173,0.8227,1
0.1842,0.2749,0.5072,0
0.8042,0.9363,0.9075,1
0.3086,0.8198,0.5818,0
0.6965,0.9991,0.5561,1
0.78,0.8739,0.4785,1
0.9552,0.8738,0.2575,1
0.5014,0.2824,0.9933,0
0.5192,0.8542,0.6058,1
0.6233,0.2051,0.6578,0
0.3864,0.4995,0.1466,0
0.7314,0.5948,0.945,1
0.2787,0.9132,0.6679,1
0.8485,0.6001,0.4764,1
0.9786,0.0627,0.463,1
0.3098,0.7264,0.1574,0
0.2461,0.0239,0.4541,0
0.7877,0.8361,0.8697,1
0.171,0.5377,0.229,0
0.7401,0.7907,0.1556,1
0.7601,0.5215,0.3258,1
0.7727,0.5401,0.8528,1
0.07,0.9686,0.0942,0
0.518,0.5329,0.6287,1
0.635,0.761,0.7056,1
0.1114,0.6055,0.8808,0
0.1947,0.9303,0.9002,1
0.854,0.5207,0.0033,1
0.7162,0.7852,0.063,1
0.1812,0.8679,0.2147,0
0.3077,0.0837,0.0081,0
0.6181,0.8996,0.3815,1
0.6151,0.7607,0.8877,1
0.3643,0.7607,0.3325,0
0.5129,0.4705,0.2409,0
0.2504,0.47,0.017,0
0.9937,0.9845,0.5473,1
0.468,0.0893,0.8322,0
0.1509,0.5327,0.9887,0
0.9925,0.3118,0.5678,1
0.0945,0.4029,0.125,0
0.0861,0.8291,0.11,0
0.7668,0.2629,0.4579,1
0.8758,0.3428,0.2173,1
0.5546,0.7961,0.8176,1
0.7963,0.785,0.6698,1
0.6217,0.5191,0.0418,0
0.7546,0.8656,0.9712,1
0.2152,0.1611,0.3809,0
0.944,0.1509,0.8991,1
0.9268,0.2548,0.4465,1
0.0643,0.819,0.1192,0
0.6428,0.9554,0.1443,1
0.8924,0.0772,0.2586,0
0.505,0.0108,0.6276,0
0.1786,0.0541,0.8995,0
0.3097,0.7402,0.1018,0
0.6554,0.9174,0.5637,1
0.2002,0.4898,0.9451,0
0.772,0.6491,0.3752,1
0.6069,0.8848,0.832,1
0.2045,0.6805,0.8805,0
0.8702,0.7602,0.8663,1
0.9996,0.3779,0.5876,1
0.7751,0.5506,0.9379,1
0.9621,0.0045,0.3811,1
0.5755,0.7453,0.6186,1
0.2757,0.6467,0.4153,0
0.78,0.9655,0.7179,1
0.9127,0.6392,0.5903,1
0.0158,0.2984,0.1321,0
0.7051,0.3048,0.4783,1
0.7785,0.0659,0.4837,1
0.962,0.3212,0.2586,1
0.9054,0.3283,0.4736,1
0.1907,0.1009,0.8943,0
0.1857,0.4586,0.6009,0
0.8916,0.2566,0.9985,1
0.3755,0.1516,0.6087,0
0.7741,0.0876,0.6149,1
0.3956,0.0587,0.8892,0
0.7342,0.416,0.9485,1
0.6175,0.4197,0.3697,0
0.7577,0.0651,0.8098,1
0.089,0.0749,0.7605,0
0.5986,0.0694,0.6137,0
0.3196,0.3999,0.4437,0
0.7938,0.8475,0.3876,1
0.1367,0.7784,0.2995,0
0.2144,0.9894,0.8077,1
0.4647,0.3331,0.9279,0
0.3626,0.6294,0.3705,0
0.0205,0.8434,0.8354,0
0.9539,0.3506,0.5872,1
0.8667,0.0347,0.0041,0
0.8588,0.218,0.7701,1
0.2275,0.5347,0.7867,0
0.8422,0.7626,0.4372,1
0.2957,0.0209,0.6538,0
0.6074,0.1213,0.3022,0
0.6242,0.5933,0.8405,1
0.6592,0.3355,0.7774,1
0.0043,0.3731,0.4681,0
0.6376,0.3491,0.7495,1
0.6522,0.9158,0.6509,1
0.7316,0.9608,0.6133,1
0.2005,0.1796,0.9658,0
0.2014,0.5471,0.8824,0
0.3613,0.7303,0.5767,1
0.1292,0.9597,0.6349,0
