x1,x2,x3,label
0.0041,0.0876,0.633,0
0.3493,0.5816,0.0066,0
0.9177,0.7897,0.0814,1
0.8395,0.266,0.4413,1
0.3991,0.4423,0.5286,0
0.339,0.2622,0.5539,0
0.4648,0.0872,0.9603,0
0.491,0.7351,0.2736,1
0.1796,0.3168,0.2126,0
0.4867,0.9728,0.255,1
0.9553,0.8463,0.2839,1
0.379,0.2214,0.6671,0
0.6714,0.6351,0.5551,1
0.8974,0.1775,0.5446,1
0.8218,0.1269,0.8868,0
0.6745,0.6111,0.413,1
0.4736,0.7011,0.1375,1
0.7462,0.1568,0.3747,0
0.4772,0.1007,0.482,0
0.5496,0.4006,0.3798,1
0.304,0.1161,0.7569,0
0.0933,0.7614,0.4629,0
0.8178,0.1204,0.1132,0
0.4682,0.0952,0.8456,0
0.034,0.825,0.3591,0
0.9095,0.8301,0.9538,1
0.8807,0.3391,0.2762,1
0.3086,0.4661,0.563,0
0.1181,0.7967,0.8322,0
0.6252,0.7181,0.5879,1
0.9308,0.4145,0.7572,1
0.5533,0.2701,0.0101,0
0.5933,0.8843,0.6613,1
0.1638,0.8697,0.4575,1
0.5735,0.7025,0.8506,1
0.274,0.5024,0.8438,0
0.4161,0.4937,0.0107,0
0.7865,0.3561,0.7857,1
0.9927,0.4761,0.1049,1
0.3605,0.3469,0.5743,0
0.0781,0.8525,0.2405,0
0.6266,0.3397,0.3663,1
0.0406,0.7022,0.6418,0
0.0087,0.2203,0.6497,0
0.742,0.8675,0.6792,1
0.3179,0.6536,0.5251,1
0.5628,0.2448,0.9589,0
0.0467,0.7983,0.7449,0
0.138,0.8428,0.8254,1
0.3098,0.3316,0.623,0
0.7602,0.3188,0.3674,1
0.6298,0.2,0.6094,0
0.8513,0.4674,0.8213,1
0.5688,0.2517,0.012,0
0.77,0.0683,0.2556,0
0.1908,0.4489,0.5695,0
0.0965,0.3612,0.9366,0
0.9742,0.9531,0.4812,1
0.8187,0.4985,0.3784,1
0.3671,0.5801,0.2545,0
0.5051,0.3121,0.2441,0
0.695,0.8947,0.7555,1
0.5958,0.0384,0.504,0
0.8773,0.6535,0.1882,1
0.493,0.0774,0.9002,0
0.0003,0.3152,0.3518,0
0.6877,0.8862,0.39,1
0.5798,0.1836,0.3967,0
0.6733,0.0305,0.0251,0
0.9838,0.6636,0.3405,1
0.1692,0.0955,0.2462,0
0.7551,0.7176,0.3648,1
0.7089,0.3837,0.0557,1
0.454,0.3532,0.8589,0
0.342,0.554,0.5829,0
0.5319,0.9717,0.167,1
0.4345,0.8366,0.2177,1
0.4125,0.4145,0.0129,0
0.0919,0.8581,0.9776,1
0.9995,0.5349,0.4848,1
