x1,x2,x3
55.86,25.03,58.63
55.58,30.95,89.72
44.7,37.99,73.23
67.05,38.66,76.86
43.72,21.15,63.93
42.91,34.35,71.47
44.84,28.7,60.95
53.05,18.24,60.38
36.5,30.78,69.77
43.89,33.8,76.51
57.81,31.99,78.81
34.76,29.16,71.54
56.4,37.4,61.84
45.14,24.54,68.16
57.19,40.5,66.99
58.5,26.36,72.51
33.95,36.75,69.82
60.86,27.26,65.31
50.91,33.14,60.85
57.44,31.51,79.75
48.62,33.01,70.09
47.9,37.86,73.51
59.94,22.72,44.23
51.89,23.12,95.49
59.83,29.01,66.09
62.91,40.12,86.37
50.58,32.92,55.05
66.67,27.47,61.15
43.27,32.53,78.12
56.58,28.25,72.8
47.14,29.18,89.64
60.11,29.01,55.51
54.41,29.0,80.57
52.43,28.39,69.52
56.76,37.87,64.56
40.46,32.03,72.55
53.0,21.99,70.01
46.88,35.43,52.29
69.57,29.89,67.17
49.01,39.42,76.38
46.21,30.44,68.27
48.17,25.7,81.87
48.8,30.32,66.78
50.97,32.26,72.06
43.91,31.01,45.08
39.23,25.86,53.22
52.77,37.18,68.87
65.94,37.79,62.92
61.74,30.02,70.02
42.86,29.76,62.64
35.91,22.99,55.71
52.08,32.65,85.05
52.59,21.35,70.74
54.67,35.86,82.09
49.86,31.57,67.37
64.65,28.74,53.6
34.09,29.46,81.31
42.48,35.41,56.36
53.12,30.79,77.03
40.71,24.64,78.42
35.85,40.84,68.8
73.07,33.53,65.06
39.54,30.93,71.18
48.95,31.49,69.3
60.71,29.86,72.32
55.09,27.55,75.73
43.17,36.91,74.15
48.4,26.19,64.12
66.37,21.16,47.14
34.93,35.19,86.41
43.22,35.56,72.46
71.29,27.29,59.76
34.12,23.0,55.96
43.87,28.64,49.34
57.13,33.59,73.0
51.94,23.18,62.62
28.45,28.46,31.16
54.45,32.56,71.05
57.08,25.13,71.05
46.1,24.08,63.08
43.89,24.71,67.66
36.8,27.08,77.59
53.24,33.94,72.16
46.57,33.03,61.9
47.61,29.61,56.24
53.43,29.21,71.08
42.29,24.37,66.85
50.14,34.54,84.29
52.58,31.7,80.39
44.26,35.36,76.25
41.51,30.71,52.46
55.47,33.19,69.39
40.47,31.38,65.55
73.23,31.54,74.28
57.64,27.39,63.81
46.43,28.94,86.74
49.56,28.24,68.89
46.65,35.66,76.97
43.65,35.69,80.81
55.96,21.92,80.63
48.4,27.84,49.5
54.0,30.44,53.73
42.26,27.06,59.83
36.17,28.28,76.22
52.3,30.41,83.02
45.83,31.3,59.77
50.26,28.6,77.52
44.97,31.21,41.65
47.75,33.93,86.64
50.86,32.95,80.98
48.04,31.84,63.51
70.66,38.1,66.4
45.89,28.01,68.77
56.1,23.52,62.73
51.09,26.25,71.32
63.03,37.69,65.31
52.66,32.83,82.22
64.3,30.2,69.58
58.0,33.2,69.49
57.64,35.87,59.64
