x1,x2,x3,label
0.4717,0.7249,0.0601,1
0.0056,0.0245,0.9011,0
0.5772,0.5842,0.661,1
0.9902,0.6924,0.3169,1
0.9825,0.4486,0.2336,1
0.0255,0.5962,0.6233,0
0.9884,0.0958,0.723,1
0.4835,0.0071,0.7992,0
0.8921,0.8372,0.8219,1
0.4931,0.7522,0.8389,1
0.7359,0.379,0.8536,1
0.4454,0.0304,0.2865,0
0.2845,0.5178,0.1168,0
0.2449,0.1285,0.3133,0
0.8124,0.6302,0.2191,1
0.428,0.5868,0.8589,1
0.6326,0.1043,0.8032,0
0.5103,0.5406,0.0213,1
0.5429,0.476,0.3335,1
0.1555,0.9553,0.3426,1
0.5887,0.9519,0.8827,1
0.4778,0.8063,0.3609,1
0.8095,0.7709,0.4523,1
0.0647,0.1686,0.8431,0
0.532,0.4371,0.829,1
0.3307,0.2643,0.4831,0
0.419,0.4913,0.1653,0
0.4263,0.828,0.4038,1
0.091,0.9711,0.4788,1
0.5654,0.6823,0.3989,1
0.4296,0.7019,0.1916,1
0.1062,0.7481,0.5937,0
0.267,0.0558,0.7152,0
0.3936,0.9182,0.9148,1
0.1202,0.8573,0.047,1
0.9348,0.8465,0.2383,1
0.672,0.6585,0.0804,1
0.2476,0.1658,0.2569,0
0.5453,0.6394,0.2548,1
0.5405,0.4507,0.79,1
0.786,0.6601,0.7277,1
0.049,0.5531,0.3546,0
0.0318,0.9082,0.2468,0
0.1996,0.7583,0.9947,1
0.8364,0.2726,0.7212,1
0.0996,0.7275,0.2006,0
0.4684,0.5404,0.6607,1
0.2432,0.9388,0.337,1
0.3505,0.7941,0.5567,1
0.8792,0.558,0.9731,1
0.1976,0.8825,0.8373,1
0.4277,0.9918,0.6247,1
0.9004,0.9707,0.8167,1
0.1723,0.713,0.894,0
0.197,0.722,0.7437,0
0.6258,0.363,0.0415,1
0.6629,0.7582,0.7473,1
0.0788,0.5251,0.4273,0
0.923,0.937,0.8411,1
0.4717,0.9577,0.9641,1
0.2114,0.7677,0.4088,1
0.2008,0.0224,0.715,0
0.9995,0.148,0.8684,1
0.3627,0.18,0.5792,0
0.7772,0.0128,0.6107,0
0.8403,0.6541,0.7788,1
0.1371,0.3034,0.3932,0
0.5658,0.0238,0.1381,0
0.0354,0.3866,0.3862,0
0.0022,0.1407,0.4917,0
0.9056,0.3848,0.5827,1
0.2291,0.5672,0.0711,0
0.4772,0.5091,0.068,1
0.0235,0.2164,0.5559,0
0.4894,0.377,0.3223,0
0.9207,0.1079,0.6505,1
0.4226,0.406,0.9219,0
0.8839,0.0464,0.3205,0
0.8977,0.7446,0.7922,1
0.6162,0.6467,0.6674,1
