time,value
1,99.88
2,89.43
3,99.37
4,95.08
5,118.91
6,114.06
7,111.36
8,99.39
9,119.53
10,112.05
11,122.2
12,126.77
13,121.88
14,135.64
15,136.38
16,126.53
17,145.08
18,134.63
19,135.25
20,133.85
21,136.7
22,159.88
23,145.88
24,147.3
25,152.87
26,152.54
27,151.21
28,141.93
29,147.41
30,153.58
31,169.75
32,169.24
33,152.42
34,164.53
35,168.57
36,176.44
37,157.7
38,166.9
39,169.61
40,166.47
41,172.43
42,165.81
43,165.64
44,179.54
45,180.6
46,188.73
47,188.15
48,182.42
49,188.04
50,206.13
51,183.09
52,197.12
53,186.94
54,186.76
55,206.44
56,198.8
57,205.22
58,192.56
59,214.43
60,215.33
