x1,x2,x3
49.77,25.91,74.64
61.49,29.8,66.93
46.4,18.11,72.86
66.47,30.58,64.43
57.79,28.18,73.85
41.28,30.97,84.58
56.53,30.22,66.7
37.77,29.75,65.46
45.17,24.87,69.49
54.06,21.67,71.48
51.85,29.2,63.64
43.84,32.33,70.16
60.61,35.79,61.38
56.25,34.06,71.06
46.26,30.43,52.54
59.73,29.23,78.93
53.18,30.53,68.14
57.3,26.2,67.01
56.99,27.06,60.12
62.07,30.05,85.04
42.62,31.67,87.58
35.57,32.18,83.51
44.01,35.82,65.77
48.68,28.78,74.65
47.02,28.38,63.41
55.23,30.02,52.43
46.02,25.35,73.13
59.28,25.61,62.22
47.16,31.34,73.99
47.44,27.36,78.75
54.04,34.6,64.55
56.01,29.1,67.77
43.34,23.46,77.56
54.46,24.82,81.65
49.68,27.72,56.66
59.37,25.03,66.44
61.14,25.0,77.49
44.74,26.33,59.53
55.86,37.83,84.89
55.02,36.31,79.04
47.58,27.25,69.4
43.92,28.64,63.83
57.01,36.3,72.95
64.47,36.82,73.34
49.16,35.74,66.68
39.13,33.43,58.67
55.07,26.52,63.48
25.33,32.88,60.81
50.37,32.55,57.7
52.44,23.44,86.91
40.57,31.55,63.35
50.55,22.11,50.41
48.41,29.06,76.15
38.91,20.49,70.85
44.51,35.28,67.74
41.52,27.96,76.36
64.19,24.06,75.67
52.22,34.58,75.95
53.57,32.76,80.31
51.19,35.83,77.94
44.02,31.87,64.51
56.74,25.37,62.32
47.22,24.38,51.19
53.43,28.09,68.18
48.06,38.97,65.81
51.79,23.11,48.62
33.69,36.9,90.5
43.96,20.2,83.98
54.32,30.21,66.07
37.85,35.12,58.49
41.89,27.43,71.38
52.27,28.08,51.32
40.29,35.74,80.29
58.05,35.91,77.88
64.58,33.29,92.82
31.5,28.05,82.08
49.12,27.8,71.66
56.14,27.16,79.05
60.19,29.84,82.81
56.07,28.8,58.41
50.18,25.34,58.22
48.81,21.42,77.77
46.48,33.35,78.24
45.28,22.33,61.07
60.19,31.12,78.29
29.49,27.33,68.25
41.21,24.62,73.54
51.49,37.74,52.05
46.26,36.71,79.24
41.87,33.6,86.31
52.04,25.86,86.26
39.28,33.69,75.31
43.8,26.69,76.06
55.49,33.24,61.54
31.08,28.0,52.49
57.32,31.67,66.15
41.73,41.4,70.28
47.44,25.8,69.53
55.51,27.73,83.23
52.6,16.0,83.51
42.5,33.72,67.85
44.5,29.51,66.57
51.15,29.94,58.3
54.78,30.0,66.84
49.89,23.57,83.08
41.38,24.63,74.21
52.64,23.07,64.84
62.05,37.82,62.05
40.31,28.92,64.69
42.93,32.15,52.1
49.42,28.37,68.86
51.6,33.93,67.22
48.32,23.82,59.27
48.09,36.62,76.0
48.43,34.53,67.94
68.14,28.14,63.6
54.08,28.57,78.31
47.87,27.71,87.29
56.0,34.44,68.09
56.44,32.51,69.06
