x1,x2,x3,label
0.6814,0.7081,0.4661,1
0.4643,0.5179,0.243,1
0.0294,0.8463,0.4161,0
0.6363,0.1939,0.92,0
0.4163,0.547,0.3332,1
0.0803,0.4984,0.2719,0
0.1029,0.5203,0.6218,0
0.4755,0.07,0.1803,0
0.0111,0.7406,0.9153,0
0.8321,0.8204,0.3173,1
0.7065,0.0765,0.2865,0
0.4694,0.2169,0.4049,0
0.3985,0.3383,0.2186,0
0.3388,0.3051,0.6805,0
0.641,0.9593,0.8707,1
0.209,0.8989,0.746,1
0.4335,0.9817,0.984,1
0.6099,0.8158,0.0571,1
0.7961,0.071,0.4329,0
0.5994,0.7739,0.8382,1
0.3962,0.5855,0.0501,1
0.7151,0.6189,0.2631,1
0.4779,0.3977,0.3025,0
0.4869,0.6214,0.1064,1
0.6774,0.9989,0.7417,1
0.4711,0.4661,0.1172,0
0.4749,0.7287,0.054,1
0.7162,0.6468,0.4225,1
0.7775,0.4442,0.1341,1
0.179,0.0083,0.018,0
0.3065,0.3059,0.3739,0
0.0414,0.4782,0.816,0
0.3102,0.1891,0.6408,0
0.8162,0.4153,0.6611,1
0.8342,0.0815,0.1683,0
0.9549,0.8089,0.8737,1
0.493,0.996,0.6899,1
0.8687,0.2361,0.2667,1
0.4797,0.8333,0.5869,1
0.9665,0.5094,0.1021,1
0.5171,0.3442,0.7558,0
0.4328,0.0767,0.2407,0
0.2847,0.0633,0.3019,0
0.677,0.0312,0.3285,0
0.0587,0.6875,0.2065,0
0.5757,0.8743,0.0922,1
0.2459,0.584,0.8611,0
0.2582,0.9612,0.1009,1
0.4735,0.6971,0.468,1
0.6619,0.1775,0.0527,0
0.2107,0.1484,0.3634,0
0.7574,0.1259,0.9552,0
0.7427,0.8562,0.3898,1
0.3812,0.1572,0.2684,0
0.1057,0.1351,0.883,0
0.4702,0.8336,0.9682,1
0.0165,0.6728,0.0005,0
0.7539,0.9225,0.2511,1
0.3012,0.5207,0.83,0
0.3439,0.4632,0.3616,0
0.649,0.4819,0.3451,1
0.8975,0.4211,0.4979,1
0.3462,0.4749,0.2312,0
0.5315,0.4131,0.2675,0
0.7984,0.3657,0.7866,1
0.724,0.9216,0.3126,1
0.0846,0.644,0.2033,0
0.6336,0.0233,0.7651,0
0.3805,0.1602,0.0752,0
0.0339,0.6371,0.4537,0
0.8905,0.3017,0.9236,1
0.605,0.9713,0.1761,1
0.9187,0.1826,0.6132,1
0.3019,0.9492,0.353,1
0.4882,0.3689,0.8522,0
0.3982,0.3207,0.0601,0
0.2943,0.1789,0.825,0
0.9284,0.6079,0.8634,1
0.6564,0.0919,0.8675,0
0.7719,0.8401,0.9598,1
