x1,x2,x3
51.42,23.73,84.5
48.51,38.37,69.81
45.52,28.66,83.45
53.38,32.31,40.03
46.69,23.01,68.3
48.79,29.04,64.82
29.11,37.41,72.36
52.39,23.2,63.51
51.0,31.74,62.57
42.67,32.12,69.44
60.27,32.29,63.89
39.87,30.38,94.65
55.81,22.07,78.22
48.82,29.3,71.88
42.07,19.37,58.97
58.75,27.91,58.5
59.44,34.2,72.23
49.8,34.69,84.98
60.48,36.51,70.02
55.19,24.98,73.57
59.66,32.41,67.98
64.07,38.6,92.46
49.75,29.17,83.85
54.9,31.27,73.05
50.01,34.63,73.45
62.44,31.31,69.87
48.34,42.18,64.85
53.62,29.66,66.35
45.79,33.32,59.11
50.78,27.85,91.0
58.05,28.09,73.87
47.86,19.56,67.97
58.7,26.2,73.71
53.68,26.77,51.47
64.07,23.73,62.67
58.49,25.8,60.82
43.54,30.07,73.15
44.93,25.7,73.17
39.54,33.26,70.56
45.04,34.3,68.29
45.62,31.51,67.09
51.35,34.34,65.47
73.09,34.51,68.31
51.72,28.09,79.27
66.21,30.68,63.31
43.93,29.83,71.23
62.23,33.34,62.19
67.54,34.73,68.65
39.36,29.93,70.69
56.45,28.73,61.95
39.25,31.32,62.99
33.63,37.04,59.77
54.11,30.72,84.12
45.19,27.25,82.82
52.35,29.35,59.37
53.94,20.54,53.2
42.16,24.69,73.11
51.91,21.79,60.37
47.57,28.04,67.16
61.85,23.31,61.09
34.14,22.46,76.25
60.01,33.54,82.53
57.89,29.62,66.52
53.6,38.66,79.12
46.21,33.37,77.19
49.83,29.19,70.82
53.62,35.21,77.93
53.98,26.27,59.77
51.46,31.91,79.45
53.36,22.13,75.83
51.61,28.62,62.79
51.11,34.03,60.67
52.29,36.55,81.18
35.63,17.08,80.42
63.52,28.97,71.75
50.88,32.89,59.88
61.64,31.76,64.74
51.89,25.7,75.81
58.53,23.86,64.76
56.64,26.84,93.96
37.18,31.7,77.04
55.4,25.14,71.87
50.32,36.38,78.5
64.26,31.77,70.69
28.06,26.05,83.67
44.8,26.08,68.66
61.29,32.76,52.79
56.96,22.57,97.94
58.98,36.18,64.97
55.82,28.86,76.46
58.22,32.46,77.63
58.42,35.17,79.22
54.06,44.43,70.08
50.38,32.46,58.8
34.74,24.95,67.11
54.89,28.21,66.53
58.45,24.6,64.57
55.65,24.69,86.72
48.59,31.54,61.33
50.5,25.83,71.14
47.74,33.34,71.84
51.8,34.45,68.97
48.67,29.65,79.95
54.45,29.97,91.0
49.66,32.6,67.76
53.88,31.23,67.36
52.26,23.58,79.21
55.73,28.54,74.11
42.04,26.3,73.67
41.98,28.99,65.67
46.02,33.18,86.6
53.71,37.96,61.59
56.84,33.72,48.73
50.86,30.05,84.44
58.24,29.37,54.77
49.06,31.13,51.69
46.98,31.03,62.38
50.74,31.04,63.33
46.37,32.6,57.26
44.16,24.77,89.67
