x1,x2,x3
53.05,33.33,80.76
54.95,39.11,74.13
46.0,25.13,74.43
49.39,39.45,59.78
55.0,27.75,51.55
46.92,20.14,60.47
43.74,32.65,62.95
39.87,21.25,72.51
33.65,28.38,47.98
56.48,28.2,58.13
44.54,25.68,84.97
41.26,35.98,61.93
56.58,29.5,64.59
60.81,36.68,87.21
51.15,23.63,63.04
41.42,25.78,78.91
40.17,33.28,76.68
53.5,27.36,78.69
60.7,24.99,78.37
58.36,37.67,62.33
57.66,33.98,66.52
52.71,32.63,85.03
42.83,31.09,63.47
45.97,26.35,55.6
39.98,22.76,51.16
34.36,30.98,82.41
54.77,20.69,83.3
39.49,35.29,61.77
56.23,22.8,67.53
41.64,32.99,76.37
57.01,28.69,65.33
54.4,26.14,63.98
50.92,27.69,72.35
49.75,32.42,66.26
43.46,32.1,76.84
51.7,25.02,79.83
48.12,20.14,46.14
58.55,23.89,48.0
47.47,36.2,61.52
55.21,25.43,46.46
57.98,35.84,54.23
45.85,29.66,72.86
52.63,35.26,68.0
52.89,24.09,57.63
59.85,29.14,81.7
61.7,31.22,61.93
50.94,33.72,75.27
56.61,26.72,79.49
31.23,31.26,73.54
43.19,36.03,75.71
47.79,25.08,47.16
45.8,26.57,63.69
53.91,35.44,95.66
56.45,33.62,79.21
47.86,33.75,61.84
59.5,30.75,62.54
42.86,32.46,74.12
51.84,36.35,57.43
60.73,33.01,63.61
42.19,33.51,70.43
47.18,23.19,57.42
57.94,26.55,63.69
54.72,37.6,58.22
50.47,31.26,85.18
53.54,35.51,88.43
54.65,43.07,59.56
44.27,32.31,65.98
54.56,32.71,68.41
37.19,25.97,70.87
44.85,30.3,89.37
47.79,34.14,80.89
44.22,30.56,65.32
38.44,35.48,61.35
59.48,26.37,79.71
37.89,40.35,69.7
53.51,34.27,90.23
55.05,35.22,90.31
56.55,19.0,68.18
41.99,23.77,53.69
54.02,33.57,65.24
39.63,29.57,61.62
44.22,25.46,56.69
51.73,29.23,84.93
36.27,35.23,89.65
38.09,27.11,73.04
43.28,29.38,70.3
52.49,28.91,64.6
49.56,28.12,64.23
62.86,24.05,86.15
55.33,29.91,63.18
62.42,28.0,68.31
50.83,35.53,64.35
54.26,33.15,56.24
45.71,31.21,51.0
47.24,27.23,81.6
59.43,30.43,71.03
54.15,30.96,57.8
49.13,35.57,64.01
51.49,34.24,55.35
48.29,26.96,80.55
46.39,27.85,71.7
39.79,37.97,88.76
53.63,29.3,53.58
53.72,28.76,50.75
27.03,26.5,72.63
26.66,41.68,78.07
52.43,16.28,61.28
54.86,36.96,69.5
57.48,39.92,73.4
43.82,31.71,52.46
37.8,26.21,87.72
46.18,31.82,72.99
56.29,24.63,82.75
44.63,33.91,57.53
54.39,24.84,62.01
50.81,27.05,64.96
51.86,23.79,68.35
44.08,29.8,59.47
42.97,28.12,65.65
57.0,31.3,63.88
