x1,x2,x3,label
0.8401,0.5488,0.5628,1
0.3344,0.6095,0.9584,0
0.6921,0.4343,0.2155,1
0.6945,0.9752,0.3631,1
0.2705,0.2566,0.251,0
0.6243,0.0981,0.9077,0
0.5799,0.3821,0.9158,1
0.6335,0.5155,0.4155,1
0.7676,0.5008,0.4044,1
0.8706,0.8035,0.8327,1
0.248,0.6906,0.7697,0
0.4616,0.9148,0.1077,1
0.0802,0.917,0.725,1
0.9708,0.2526,0.7512,1
0.271,0.9725,0.2492,1
0.9686,0.7196,0.2027,1
0.547,0.3525,0.4078,0
0.9766,0.8212,0.4189,1
0.0249,0.3671,0.9448,0
0.0836,0.3232,0.7277,0
0.2534,0.9872,0.8932,1
0.366,0.8202,0.3884,1
0.8613,0.2091,0.8641,1
0.3772,0.3687,0.546,0
0.012,0.473,0.1229,0
0.342,0.1635,0.9331,0
0.96,0.8605,0.647,1
0.7125,0.3632,0.5556,1
0.4851,0.7855,0.4075,1
0.3504,0.4859,0.2713,0
0.0174,0.1552,0.0226,0
0.8044,0.2863,0.9998,1
0.1317,0.4697,0.2022,0
0.6159,0.3235,0.0453,0
0.2884,0.4297,0.0941,0
0.7665,0.8707,0.8284,1
0.0412,0.5169,0.6288,0
0.4923,0.3989,0.5138,0
0.2635,0.1421,0.1455,0
0.6423,0.1135,0.1897,0
0.6841,0.9546,0.3444,1
0.1437,0.4982,0.7215,0
0.7245,0.515,0.8092,1
0.954,0.3164,0.3084,1
0.9303,0.8887,0.208,1
0.9106,0.3888,0.5728,1
0.4264,0.6131,0.1065,1
0.1425,0.5659,0.0471,0
0.6828,0.3545,0.7361,1
0.1192,0.3123,0.4082,0
0.6689,0.225,0.5952,0
0.1012,0.1753,0.999,0
0.0651,0.7248,0.6205,0
0.2515,0.1268,0.7661,0
0.7511,0.7528,0.1863,1
0.3919,0.6264,0.0512,1
0.0829,0.9132,0.0161,1
0.2603,0.1447,0.9144,0
0.6793,0.8203,0.8463,1
0.8425,0.2138,0.1626,1
0.036,0.7111,0.0585,0
0.772,0.526,0.1176,1
0.9621,0.2596,0.241,1
0.6217,0.1413,0.1409,0
0.1194,0.4597,0.0807,0
0.169,0.3598,0.5464,0
0.2622,0.206,0.7182,0
0.6166,0.7998,0.8722,1
0.768,0.6441,0.4136,1
0.1546,0.4946,0.3381,0
0.6555,0.678,0.7051,1
0.5846,0.4943,0.8199,1
0.5922,0.6214,0.0897,1
0.3337,0.8991,0.3785,1
0.7714,0.8002,0.381,1
0.3728,0.43,0.402,0
0.3908,0.4322,0.2761,0
0.7389,0.9122,0.2626,1
0.8435,0.6288,0.6263,1
0.3532,0.2078,0.8456,0
