x1,x2,x3,label
0.8576,0.7332,0.6215,1
0.5676,0.1607,0.4933,0
0.0113,0.8729,0.1935,0
0.2786,0.8875,0.4459,0
0.4411,0.1308,0.4698,0
0.2253,0.4913,0.011,0
0.3633,0.5253,0.4988,0
0.4554,0.6551,0.6961,0
0.8344,0.5032,0.2696,1
0.3644,0.5736,0.7218,0
0.9437,0.3808,0.3923,1
0.8593,0.6673,0.1312,1
0.853,0.3223,0.0684,1
0.7763,0.3348,0.363,1
0.4615,0.3227,0.0352,0
0.0935,0.6169,0.1081,0
0.2462,0.396,0.1929,0
0.907,0.4507,0.4395,1
0.4297,0.3512,0.5979,0
0.7766,0.1519,0.3007,0
0.3242,0.6408,0.3435,0
0.4299,0.048,0.1083,0
0.2082,0.9802,0.5326,0
0.1343,0.4612,0.9783,0
0.9,0.0489,0.0808,0
0.2599,0.0967,0.1933,0
0.4526,0.6516,0.1418,0
0.4998,0.0208,0.7925,0
0.9165,0.4074,0.1611,1
0.4673,0.4969,0.5178,0
0.5994,0.3448,0.7231,1
0.9085,0.0896,0.1216,0
0.6601,0.6581,0.4843,1
0.7976,0.5655,0.8203,1
0.0799,0.5402,0.213,0
0.7836,0.9394,0.4033,1
0.7263,0.1911,0.3338,0
0.1779,0.9739,0.063,0
0.7247,0.7702,0.985,1
0.957,0.0788,0.4926,1
0.0807,0.6982,0.5837,0
0.1823,0.6302,0.4918,0
0.0159,0.4605,0.7426,0
0.7173,0.5193,0.1721,0
0.0486,0.2059,0.5307,0
0.2174,0.5831,0.4597,0
0.8688,0.7601,0.6447,1
0.867,0.4698,0.1961,1
0.1613,0.6907,0.2434,0
0.5492,0.8211,0.7976,1
0.8749,0.2521,0.9817,1
0.6291,0.1994,0.3467,0
0.2816,0.8795,0.3547,0
0.0319,0.0084,0.4981,0
0.2478,0.9271,0.3101,0
0.7537,0.8756,0.9833,1
0.0345,0.5133,0.0446,0
0.2359,0.7699,0.5532,0
0.2961,0.8758,0.7132,1
0.3911,0.2668,0.7284,0
0.1206,0.1846,0.7959,0
0.4886,0.3428,0.5239,0
0.167,0.6869,0.5209,0
0.8539,0.8294,0.8967,1
0.5553,0.0985,0.8818,0
0.3448,0.943,0.4023,1
0.3692,0.1612,0.8585,0
0.0911,0.6945,0.4923,0
0.8558,0.3496,0.4727,1
0.6555,0.1676,0.0941,0
0.0453,0.8161,0.0878,0
0.5851,0.4344,0.8162,1
0.3621,0.1716,0.4067,0
0.985,0.4572,0.047,1
0.786,0.0574,0.6727,1
0.0622,0.0546,0.858,0
0.0703,0.8927,0.8315,0
0.1098,0.2593,0.6974,0
0.4312,0.543,0.358,0
0.1674,0.2393,0.7695,0
0.2093,0.5345,0.1392,0
0.1491,0.2058,0.4125,0
0.547,0.382,0.356,0
0.825,0.5267,0.8579,1
0.089,0.7488,0.7426,0
0.4028,0.4412,0.1068,0
0.3773,0.0741,0.3806,0
0.7775,0.7092,0.5044,1
0.5852,0.4483,0.7885,1
0.1222,0.9271,0.5531,0
0.4762,0.9847,0.3838,1
0.4615,0.1318,0.6591,0
0.3718,0.6479,0.1609,0
0.4782,0.2871,0.6333,0
0.9687,0.9921,0.0652,1
0.7833,0.0698,0.9547,1
0.3605,0.3878,0.8801,0
0.6298,0.7894,0.9577,1
0.7166,0.8213,0.4795,1
0.8885,0.7378,0.6799,1
0.6071,0.052,0.3922,0
0.0351,0.8552,0.6284,0
0.252,0.9878,0.089,0
0.242,0.0066,0.3198,0
0.5359,0.245,0.8079,0
0.4514,0.6853,0.7307,1
0.9685,0.7642,0.83,1
0.5421,0.4734,0.0501,0
0.505,0.9656,0.7668,1
0.8469,0.1077,0.0222,0
0.8398,0.7472,0.6498,1
0.4262,0.2374,0.5754,0
0.5952,0.4395,0.291,0
0.1579,0.9028,0.087,0
0.7804,0.2458,0.7035,1
0.6987,0.2555,0.1416,0
0.0103,0.2273,0.8647,0
0.2867,0.5013,0.1522,0
0.7023,0.8973,0.0921,1
0.1772,0.0204,0.5672,0
0.3665,0.7284,0.2952,0
0.3726,0.0853,0.2278,0
0.2804,0.9213,0.2869,0
0.731,0.9022,0.2838,1
0.2299,0.3088,0.7177,0
0.8786,0.4905,0.5788,1
0.504,0.6171,0.3916,0
0.8586,0.7572,0.7698,1
0.1927,0.9138,0.9143,1
0.3175,0.2537,0.7494,0
0.1684,0.3678,0.6467,0
0.4737,0.3967,0.3638,0
0.1175,0.025,0.1286,0
0.4032,0.4046,0.3262,0
0.971,0.2589,0.6587,1
0.5343,0.5388,0.6627,1
0.9324,0.5863,0.8199,1
0.5494,0.1342,0.2175,0
0.1733,0.5271,0.4397,0
0.8149,0.1264,0.2046,0
0.1704,0.8804,0.5961,0
0.1178,0.1182,0.2245,0
0.2262,0.6392,0.2084,0
0.6243,0.7278,0.9454,1
0.837,0.4558,0.9523,1
0.3612,0.8249,0.5407,1
0.3853,0.0635,0.39,0
0.849,0.6548,0.7234,1
0.52,0.9364,0.584,1
0.5353,0.9524,0.6249,1
0.9953,0.6106,0.375,1
0.6863,0.2674,0.5798,1
0.0212,0.6574,0.4587,0
0.3537,0.2365,0.8073,0
0.2982,0.3824,0.8982,0
0.1497,0.651,0.2791,0
0.1002,0.212,0.8294,0
0.5517,0.2476,0.5907,0
0.2462,0.0846,0.3732,0
0.4249,0.4505,0.7455,0
0.875,0.255,0.441,1
0.5311,0.7615,0.8212,1
0.3077,0.9861,0.0617,0
0.861,0.1014,0.8791,1
0.7682,0.8913,0.2547,1
0.9357,0.4317,0.7502,1
0.9265,0.4259,0.8247,1
0.0635,0.0589,0.5222,0
0.1846,0.3705,0.2514,0
0.2841,0.6714,0.2513,0
0.9809,0.9848,0.8057,1
0.5061,0.5639,0.9589,1
0.4956,0.3443,0.7319,0
0.0314,0.6972,0.2676,0
0.0779,0.2117,0.0036,0
0.1102,0.4399,0.1338,0
0.5095,0.9772,0.5309,1
0.4276,0.6256,0.6926,1
0.0919,0.9769,0.4565,0
0.9889,0.4524,0.6307,1
