x1,x2,x3,label
0.1992,0.6025,0.6193,0
0.6563,0.7728,0.9022,1
0.5668,0.2695,0.7885,0
0.5775,0.407,0.6007,1
0.2157,0.4685,0.8691,0
0.552,0.2939,0.2938,0
0.9348,0.4739,0.5978,1
0.7729,0.9066,0.401,1
0.3799,0.4312,0.365,0
0.0751,0.0455,0.5346,0
0.0696,0.9898,0.1674,1
0.6417,0.4448,0.1256,1
0.6078,0.9697,0.7367,1
0.226,0.2876,0.5932,0
0.4835,0.4833,0.1026,1
0.1599,0.8637,0.7768,1
0.2132,0.0554,0.2704,0
0.2756,0.257,0.1653,0
0.4076,0.1496,0.774,0
0.1062,0.324,0.0065,0
0.1359,0.9749,0.9711,1
0.3789,0.1379,0.9541,0
0.658,0.9036,0.569,1
0.8693,0.6647,0.8728,1
0.7165,0.9186,0.9958,1
0.3756,0.033,0.8057,0
0.9651,0.9383,0.0159,1
0.6825,0.518,0.5033,1
0.1501,0.845,0.0798,1
0.3842,0.2488,0.8566,0
0.1527,0.7127,0.5484,0
0.4102,0.4256,0.9219,0
0.8561,0.0519,0.2388,0
0.7382,0.4383,0.2522,1
0.5512,0.8554,0.275,1
0.4496,0.2783,0.103,0
0.3535,0.7923,0.8697,1
0.8485,0.9316,0.2684,1
0.6893,0.1589,0.413,0
0.4636,0.2944,0.1709,0
0.779,0.1849,0.5594,1
0.0864,0.2284,0.6288,0
0.2292,0.6676,0.6953,0
0.1923,0.7816,0.1263,1
0.8232,0.2493,0.9807,1
0.8224,0.1476,0.1263,1
0.026,0.1485,0.0895,0
0.8035,0.2321,0.5848,1
0.4196,0.0261,0.5316,0
0.3647,0.9901,0.2374,1
0.4058,0.5422,0.9842,0
0.7454,0.9473,0.8136,1
0.3222,0.973,0.3767,1
0.1037,0.3016,0.3252,0
0.8918,0.125,0.1798,1
0.6045,0.8671,0.1578,1
0.5265,0.5238,0.0374,1
0.3111,0.6741,0.674,1
0.4226,0.7876,0.7097,1
0.2045,0.601,0.048,0
0.8276,0.4515,0.9472,1
0.9919,0.1858,0.3779,1
0.5677,0.8985,0.7947,1
0.2387,0.2421,0.1823,0
0.3803,0.3368,0.2883,0
0.3624,0.0064,0.7689,0
0.8348,0.4013,0.7683,1
0.6388,0.3477,0.2914,1
0.7857,0.585,0.4596,1
0.6971,0.1452,0.8976,0
0.2205,0.7871,0.4475,1
0.8702,0.762,0.8515,1
0.5381,0.9602,0.0297,1
0.0834,0.5325,0.7317,0
0.7925,0.7669,0.2201,1
0.4928,0.3709,0.6943,0
0.1406,0.6079,0.5637,0
0.3075,0.4048,0.605,0
0.3866,0.55,0.9604,0
0.8191,0.6726,0.8762,1
