x1,x2,x3,label
0.7579,0.7385,0.8561,1
0.8116,0.7464,0.9879,1
0.2276,0.5818,0.931,0
0.819,0.2311,0.9341,1
0.7889,0.9038,0.0728,1
0.9021,0.5164,0.6388,1
0.4481,0.069,0.7742,0
0.6832,0.1912,0.3985,0
0.9318,0.4539,0.703,1
0.697,0.7694,0.9474,1
0.9083,0.0456,0.1857,0
0.8564,0.7545,0.4078,1
0.6974,0.6734,0.9718,1
0.286,0.9075,0.7206,1
0.9126,0.927,0.6926,1
0.9631,0.6025,0.6076,1
0.2745,0.2841,0.6423,0
0.8727,0.8436,0.8095,1
0.2973,0.8556,0.2099,0
0.9765,0.9812,0.2762,1
0.9647,0.7222,0.3777,1
0.9445,0.0237,0.9643,1
0.9177,0.955,0.861,1
0.5793,0.1031,0.7806,0
0.0611,0.0837,0.8906,0
0.1315,0.6563,0.4262,0
0.4852,0.4917,0.4774,0
0.2612,0.4116,0.5842,0
0.4301,0.0487,0.2535,0
0.5842,0.9726,0.8801,1
0.4495,0.3526,0.9051,1
0.2726,0.3861,0.5657,0
0.5716,0.4439,0.1203,0
0.8006,0.7204,0.354,1
0.3664,0.8887,0.6687,1
0.7185,0.8633,0.1974,1
0.4122,0.21,0.0481,0
0.0204,0.4908,0.8111,0
0.7855,0.824,0.5834,1
0.9326,0.5516,0.7684,1
0.7931,0.3616,0.193,1
0.4469,0.7042,0.2489,0
0.6681,0.7564,0.491,1
0.0008,0.3671,0.502,0
0.0111,0.1448,0.4082,0
0.7216,0.7531,0.074,1
0.7478,0.4822,0.5808,1
0.9122,0.678,0.4525,1
0.361,0.5958,0.0474,0
0.9243,0.9406,0.1626,1
0.6868,0.0077,0.6402,0
0.6752,0.8281,0.2582,1
0.3966,0.2355,0.8967,0
0.2652,0.3526,0.2816,0
0.3404,0.458,0.5952,0
0.7943,0.324,0.9759,1
0.0216,0.9734,0.822,0
0.8313,0.8944,0.1513,1
0.2281,0.8414,0.6647,0
0.5103,0.6755,0.8258,1
0.4963,0.9241,0.7622,1
0.2551,0.4895,0.6298,0
0.4744,0.1023,0.7875,0
0.7529,0.9423,0.8404,1
0.8387,0.3856,0.4393,1
0.5325,0.2299,0.9522,0
0.0014,0.7974,0.8632,0
0.2454,0.2861,0.6709,0
0.3343,0.9512,0.2682,0
0.0716,0.2814,0.6529,0
0.8886,0.3419,0.4496,1
0.8055,0.147,0.0255,0
0.2315,0.1742,0.2973,0
0.71,0.8107,0.6791,1
0.735,0.7521,0.5909,1
0.6499,0.6445,0.079,1
0.5203,0.4816,0.405,0
0.7173,0.3211,0.5376,1
0.1874,0.8549,0.6359,0
0.5442,0.9271,0.5155,1
0.0978,0.0294,0.209,0
0.114,0.0569,0.3904,0
0.9408,0.435,0.0097,1
0.6954,0.7927,0.4781,1
0.586,0.2942,0.8023,0
0.5815,0.9855,0.8077,1
0.5207,0.6434,0.9261,1
0.7915,0.5254,0.8675,1
0.0469,0.1389,0.1903,0
0.9777,0.5008,0.6914,1
0.0069,0.3986,0.0332,0
0.4056,0.796,0.9297,1
0.3295,0.2752,0.5922,0
0.2748,0.5091,0.7067,0
0.1359,0.2286,0.8756,0
0.1205,0.6666,0.4688,0
0.9812,0.3448,0.0236,1
0.2362,0.6381,0.938,0
0.7373,0.8838,0.5708,1
0.3176,0.6832,0.8296,1
0.2846,0.4223,0.8257,0
0.0134,0.7044,0.3771,0
0.6639,0.5098,0.1356,0
0.6268,0.1399,0.2169,0
0.3133,0.8941,0.9807,1
0.5422,0.3832,0.1813,0
0.0777,0.2282,0.4607,0
0.5442,0.8423,0.3653,1
0.8594,0.9495,0.1536,1
0.7081,0.2802,0.6967,1
0.1123,0.3544,0.386,0
0.2485,0.0785,0.2185,0
0.3252,0.1109,0.1826,0
0.5945,0.3381,0.092,0
0.6125,0.3311,0.872,1
0.5797,0.3474,0.4856,0
0.3153,0.3759,0.3346,0
0.7578,0.6016,0.2716,1
0.5615,0.3465,0.5806,0
0.0649,0.445,0.1582,0
0.9749,0.1876,0.0073,1
0.269,0.2307,0.306,0
0.2144,0.0027,0.8015,0
0.5004,0.8501,0.0088,0
0.8473,0.9717,0.1676,1
0.9796,0.3095,0.539,1
0.2714,0.8748,0.2392,0
0.9632,0.2843,0.2298,1
0.0684,0.8875,0.0165,0
0.3916,0.4552,0.3537,0
0.9646,0.5309,0.0439,1
0.5634,0.3663,0.4693,0
0.5207,0.4646,0.8029,1
0.7427,0.355,0.2395,0
0.6684,0.6792,0.6921,1
0.6857,0.3029,0.9981,1
0.0934,0.5615,0.0173,0
0.9841,0.9333,0.9009,1
0.4632,0.582,0.6713,0
0.9036,0.4784,0.1849,1
0.2664,0.529,0.6337,0
0.3112,0.011,0.6692,0
0.878,0.0214,0.6773,1
0.2949,0.8032,0.8535,1
0.9587,0.0669,0.5087,1
0.5712,0.8679,0.2028,1
0.3176,0.9192,0.24,0
0.8306,0.6939,0.5675,1
0.506,0.9658,0.3431,1
0.9682,0.5957,0.03,1
0.6132,0.9254,0.7991,1
0.4851,0.0368,0.1946,0
0.1417,0.4251,0.1862,0
0.6241,0.8345,0.4794,1
0.2338,0.9182,0.7587,1
0.8508,0.2065,0.0565,0
0.4276,0.309,0.5581,0
0.6011,0.6868,0.4242,1
0.1401,0.7519,0.6743,0
0.7823,0.5147,0.0963,1
0.174,0.4396,0.5817,0
0.5718,0.7914,0.3751,1
0.1086,0.6923,0.5762,0
0.4558,0.0611,0.6558,0
0.4,0.0619,0.6528,0
0.1479,0.0507,0.9508,0
0.6662,0.1436,0.8774,1
0.2086,0.7168,0.4187,0
0.8496,0.3356,0.3769,1
0.0605,0.4684,0.0403,0
0.9132,0.5252,0.4607,1
0.1191,0.1869,0.8089,0
0.5533,0.4322,0.4264,0
0.4313,0.6611,0.2967,0
0.7156,0.2134,0.862,1
0.6977,0.494,0.0601,0
0.8772,0.512,0.0818,1
0.0742,0.5282,0.5818,0
0.6048,0.084,0.6996,0
0.4631,0.9951,0.1693,1
