time,value
1,106.59
2,109.68
3,105.6
4,102.58
5,107.17
6,109.48
7,113.58
8,105.87
9,96.16
10,130.26
11,109.79
12,114.42
13,130.79
14,143.14
15,150.83
16,131.93
17,135.04
18,128.92
19,121.0
20,140.96
21,145.44
22,136.78
23,139.88
24,142.29
25,150.71
26,154.81
27,160.52
28,146.94
29,152.1
30,148.84
31,163.55
32,165.22
33,174.51
34,171.0
35,167.02
36,171.38
37,161.53
38,166.61
39,180.1
40,180.31
41,173.41
42,187.59
43,179.21
44,183.79
45,183.24
46,205.07
47,195.07
48,193.85
49,200.38
50,184.2
51,193.48
52,195.93
53,189.23
54,200.06
55,203.8
56,185.15
57,204.83
58,192.39
59,200.92
60,214.94
