x1,x2,x3,label
0.7792,0.055,0.607,0
0.8927,0.0997,0.6552,1
0.3449,0.5368,0.8793,0
0.2862,0.9949,0.3038,1
0.498,0.882,0.5675,1
0.7362,0.0215,0.3159,0
0.8485,0.6775,0.4714,1
0.1535,0.9557,0.8926,1
0.3569,0.645,0.9283,1
0.0033,0.1274,0.1145,0
0.5702,0.3864,0.3932,1
0.4435,0.1363,0.9021,0
0.5335,0.2355,0.5735,0
0.0095,0.9111,0.3935,0
0.5018,0.9974,0.5956,1
0.0078,0.2089,0.629,0
0.0718,0.9414,0.053,1
0.7083,0.0769,0.2998,0
0.2027,0.2791,0.2042,0
0.4059,0.9938,0.593,1
0.5888,0.794,0.0377,1
0.5504,0.6906,0.86,1
0.2291,0.8036,0.1343,1
0.0337,0.4139,0.8123,0
0.2439,0.2894,0.8877,0
0.1056,0.8463,0.3533,1
0.4445,0.6274,0.2171,1
0.0957,0.2264,0.5585,0
0.3884,0.486,0.5956,0
0.9457,0.4603,0.4477,1
0.8625,0.827,0.5052,1
0.1152,0.4145,0.5867,0
0.7397,0.7448,0.4802,1
0.3255,0.0247,0.5809,0
0.8054,0.8217,0.5239,1
0.2362,0.771,0.4109,1
0.0533,0.0996,0.3823,0
0.5707,0.1069,0.6938,0
0.1413,0.7882,0.8321,0
0.9548,0.3429,0.4837,1
0.1057,0.1839,0.6621,0
0.7628,0.8124,0.5037,1
0.3831,0.7037,0.4661,1
0.33,0.5668,0.3037,0
0.677,0.3074,0.055,1
0.9811,0.4687,0.7241,1
0.1767,0.8209,0.0584,1
0.7372,0.2967,0.514,1
0.5451,0.8219,0.9703,1
0.7914,0.5752,0.8677,1
0.0654,0.5008,0.5986,0
0.1327,0.991,0.8935,1
0.0425,0.7722,0.8013,0
0.5927,0.4571,0.8802,1
0.2445,0.5679,0.5072,0
0.8873,0.668,0.0409,1
0.3474,0.9924,0.5544,1
0.0938,0.6452,0.8863,0
0.9773,0.4618,0.0421,1
0.158,0.844,0.8613,1
0.8779,0.1709,0.4381,1
0.6728,0.0417,0.8049,0
0.7438,0.8589,0.8092,1
0.8718,0.5223,0.4101,1
0.3703,0.8136,0.2345,1
0.8003,0.2814,0.3676,1
0.2975,0.61,0.1115,0
0.2087,0.7084,0.8651,0
0.9907,0.9478,0.7295,1
0.9159,0.125,0.1444,1
0.0481,0.2563,0.5303,0
0.8777,0.7355,0.1173,1
0.0333,0.551,0.5536,0
0.7426,0.8575,0.3324,1
0.1887,0.7262,0.1618,0
0.9764,0.6291,0.8744,1
0.1512,0.6649,0.8049,0
0.3373,0.5431,0.0459,0
0.5508,0.6455,0.9729,1
0.2577,0.7941,0.6393,1
