x1,x2,x3,label
0.2885,0.9396,0.4078,1
0.4869,0.8299,0.2305,1
0.8239,0.2046,0.1014,1
0.8757,0.6154,0.2131,1
0.4755,0.0271,0.5804,0
0.827,0.2966,0.2054,1
0.798,0.0026,0.6731,0
0.1813,0.4587,0.5564,0
0.4668,0.5033,0.7976,1
0.2367,0.9571,0.8081,1
0.191,0.6444,0.8415,0
0.4093,0.7556,0.5708,1
0.0304,0.7021,0.4486,0
0.7061,0.7138,0.2164,1
0.1797,0.5076,0.6945,0
0.7133,0.9303,0.1299,1
0.6719,0.6329,0.7551,1
0.3558,0.4548,0.7062,0
0.1435,0.0791,0.1427,0
0.4047,0.5768,0.5537,1
0.6502,0.4114,0.2907,1
0.9494,0.7234,0.6006,1
0.3657,0.7389,0.4551,1
0.3039,0.2302,0.4844,0
0.1369,0.4649,0.7411,0
0.7603,0.7178,0.9445,1
0.4658,0.356,0.5081,0
0.1218,0.4286,0.9914,0
0.1393,0.1204,0.3511,0
0.0189,0.8104,0.6277,0
0.2261,0.8866,0.2075,1
0.9798,0.2154,0.0895,1
0.248,0.0524,0.4459,0
0.4866,0.2461,0.3812,0
0.8128,0.0197,0.0532,0
0.5102,0.5201,0.2319,1
0.2054,0.9405,0.7576,1
0.9371,0.2396,0.5096,1
0.3165,0.4274,0.6097,0
0.233,0.5571,0.9351,0
0.295,0.916,0.7785,1
0.8791,0.4422,0.5963,1
0.4062,0.5247,0.8146,0
0.7458,0.1526,0.3077,0
0.682,0.8181,0.389,1
0.6043,0.8929,0.1977,1
0.9556,0.4894,0.6256,1
0.5678,0.4643,0.2723,1
0.3404,0.7737,0.4698,1
0.6445,0.1486,0.7578,0
0.9438,0.736,0.9321,1
0.6204,0.0616,0.2968,0
0.7632,0.1882,0.4978,1
0.238,0.7647,0.2285,1
0.7257,0.1677,0.8,0
0.0693,0.941,0.8766,1
0.5325,0.1401,0.2062,0
0.892,0.1636,0.7732,1
0.1581,0.2495,0.6082,0
0.0999,0.3276,0.7616,0
0.7622,0.6893,0.0247,1
0.2963,0.4997,0.399,0
0.0872,0.2116,0.5733,0
0.0246,0.7243,0.0589,0
0.8737,0.8118,0.8352,1
0.2048,0.3536,0.4739,0
0.9277,0.5691,0.2606,1
0.2443,0.0026,0.1485,0
0.5082,0.016,0.4375,0
0.1472,0.2645,0.9607,0
0.446,0.7486,0.1765,1
0.2611,0.5828,0.0077,0
0.5452,0.7774,0.5144,1
0.1243,0.0324,0.6327,0
0.4983,0.6771,0.1925,1
0.2882,0.7313,0.4239,1
0.5922,0.6965,0.4523,1
0.3333,0.2717,0.182,0
0.3102,0.3259,0.081,0
0.3705,0.2881,0.0032,0
