x1,x2,x3,label
0.2931,0.2071,0.535,0
0.0275,0.1689,0.6561,0
0.7889,0.8686,0.6417,1
0.0216,0.1216,0.9774,0
0.7748,0.8816,0.5389,1
0.2279,0.1651,0.3407,0
0.234,0.0602,0.6002,0
0.8791,0.018,0.3873,0
0.666,0.0054,0.2252,0
0.015,0.0721,0.8644,0
0.5255,0.9903,0.4847,1
0.2744,0.0537,0.6111,0
0.9447,0.8118,0.7316,1
0.6504,0.4464,0.9602,1
0.3066,0.6425,0.5176,0
0.2276,0.9693,0.2737,1
0.5277,0.5281,0.458,1
0.7782,0.1091,0.0202,0
0.9319,0.1803,0.8485,1
0.7839,0.5772,0.7104,1
0.7436,0.2826,0.6443,1
0.73,0.3685,0.7214,1
0.094,0.5739,0.9372,0
0.5038,0.6326,0.3267,1
0.1741,0.9652,0.4458,1
0.7849,0.1939,0.2748,1
0.7763,0.0635,0.764,0
0.3692,0.6655,0.0103,1
0.3923,0.8309,0.9531,1
0.2122,0.6419,0.4024,0
0.5822,0.0173,0.5724,0
0.1552,0.0285,0.0069,0
0.4128,0.7054,0.3418,1
0.339,0.6673,0.727,1
0.1215,0.8983,0.2406,1
0.7557,0.7694,0.1311,1
0.222,0.3052,0.7028,0
0.1033,0.9961,0.1098,1
0.0584,0.0661,0.6394,0
0.3976,0.9293,0.2332,1
0.8341,0.5927,0.5066,1
0.4195,0.6488,0.3132,1
0.3942,0.9143,0.8334,1
0.5631,0.3779,0.5015,0
0.6657,0.1542,0.7467,0
0.6555,0.929,0.8244,1
0.2771,0.0827,0.0012,0
0.1685,0.9416,0.4813,1
0.024,0.6215,0.2177,0
0.2608,0.372,0.1836,0
0.0651,0.0601,0.2478,0
0.1225,0.163,0.4479,0
0.5394,0.1248,0.4691,0
0.6429,0.8896,0.3312,1
0.3298,0.4455,0.2263,0
0.9043,0.0152,0.4854,0
0.004,0.4895,0.4484,0
0.5867,0.0091,0.1584,0
0.3689,0.3518,0.5233,0
0.2061,0.1475,0.5702,0
0.7982,0.6501,0.5182,1
0.9565,0.6218,0.5041,1
0.3394,0.7218,0.7762,1
0.2887,0.9973,0.1456,1
0.9002,0.2537,0.6073,1
0.58,0.6025,0.4233,1
0.5935,0.746,0.0187,1
0.0316,0.5401,0.0447,0
0.1415,0.7514,0.5591,0
0.1588,0.5515,0.0294,0
0.4829,0.935,0.5331,1
0.6155,0.9467,0.8248,1
0.1448,0.4843,0.7051,0
0.006,0.8616,0.2101,0
0.0761,0.6951,0.5782,0
0.4757,0.2698,0.7707,0
0.3262,0.7459,0.9395,1
0.9168,0.5905,0.108,1
0.8511,0.4304,0.5921,1
0.619,0.3621,0.256,1
