x1,x2,x3,label
0.1217,0.2509,0.8377,0
0.8141,0.617,0.8294,1
0.4126,0.9647,0.7769,1
0.608,0.4366,0.2167,1
0.3339,0.798,0.3406,1
0.1023,0.9758,0.5965,1
0.2574,0.4344,0.4958,0
0.6466,0.0884,0.8726,0
0.574,0.4181,0.3374,1
0.4588,0.5487,0.8891,1
0.0637,0.7629,0.85,0
0.0955,0.3921,0.0215,0
0.4299,0.644,0.5954,1
0.8626,0.5456,0.8179,1
0.1904,0.8672,0.9748,1
0.0169,0.1813,0.5836,0
0.4674,0.8955,0.8873,1
0.1642,0.9855,0.7685,1
0.7262,0.0423,0.1853,0
0.9667,0.5428,0.3202,1
0.4444,0.4959,0.3754,0
0.1625,0.3686,0.7456,0
0.1172,0.8348,0.9713,1
0.1896,0.3555,0.9735,0
0.0812,0.9967,0.0536,1
0.061,0.9726,0.3397,1
0.4622,0.242,0.0852,0
0.3962,0.1194,0.7059,0
0.5866,0.3584,0.992,0
0.0673,0.3846,0.4364,0
0.0468,0.2775,0.8536,0
0.1586,0.3275,0.3494,0
0.7007,0.931,0.1367,1
0.2488,0.2138,0.4682,0
0.683,0.8865,0.7443,1
0.0663,0.9294,0.0177,1
0.5214,0.9318,0.4353,1
0.4056,0.2543,0.5854,0
0.5598,0.6296,0.6249,1
0.3156,0.7527,0.0691,1
0.1807,0.2947,0.878,0
0.3485,0.5804,0.366,0
0.295,0.8314,0.1327,1
0.2017,0.8905,0.3357,1
0.8673,0.5956,0.6345,1
0.468,0.8425,0.933,1
0.1522,0.0104,0.4499,0
0.7456,0.0786,0.8489,0
0.3066,0.0509,0.1984,0
0.423,0.3022,0.1076,0
0.6004,0.5219,0.5629,1
0.801,0.6597,0.4685,1
0.4089,0.3333,0.4665,0
0.0671,0.6222,0.9274,0
0.1761,0.9535,0.2859,1
0.4504,0.2268,0.3986,0
0.1599,0.5962,0.4049,0
0.2477,0.5642,0.4682,0
0.9731,0.6159,0.4788,1
0.485,0.7918,0.4111,1
0.1417,0.4136,0.4929,0
0.9331,0.3695,0.2926,1
0.4818,0.3786,0.8321,0
0.8747,0.0625,0.7155,0
0.5352,0.2496,0.0328,0
0.3151,0.5634,0.2626,0
0.5449,0.472,0.1653,1
0.4566,0.0078,0.6977,0
0.0567,0.9735,0.1508,1
0.0795,0.3241,0.4497,0
0.1365,0.5688,0.118,0
0.0768,0.2146,0.6185,0
0.1058,0.8088,0.4704,0
0.8825,0.1789,0.9454,1
0.7514,0.5239,0.6476,1
0.3261,0.6508,0.3658,1
0.6035,0.1238,0.5222,0
0.7703,0.1268,0.7311,0
0.1606,0.5502,0.1471,0
0.291,0.0954,0.3791,0
