x1,x2,x3,label
0.8591,0.8834,0.6247,1
0.4276,0.8164,0.6397,1
0.0836,0.1697,0.2308,0
0.8075,0.6674,0.5768,1
0.1895,0.3949,0.8178,0
0.3872,0.9203,0.2004,1
0.909,0.7921,0.8112,1
0.0246,0.7252,0.7271,0
0.943,0.9251,0.2006,1
0.2725,0.5179,0.7278,0
0.7137,0.4965,0.9937,1
0.1495,0.1705,0.171,0
0.4563,0.767,0.2746,1
0.6158,0.7966,0.0427,1
0.3996,0.8068,0.9483,1
0.9527,0.9066,0.146,1
0.9546,0.2873,0.5233,1
0.3578,0.5389,0.9107,0
0.8693,0.5391,0.2751,1
0.744,0.3927,0.3891,1
0.8938,0.2374,0.4287,1
0.8829,0.5996,0.5759,1
0.4638,0.5384,0.8627,1
0.4859,0.6202,0.5651,1
0.9493,0.9522,0.913,1
0.7425,0.6808,0.4405,1
0.8853,0.9647,0.7019,1
0.4825,0.0245,0.0922,0
0.4466,0.7705,0.3605,1
0.697,0.558,0.282,1
0.708,0.2628,0.2891,1
0.2482,0.123,0.8961,0
0.0974,0.2293,0.5287,0
0.179,0.1412,0.8117,0
0.9737,0.7756,0.5685,1
0.099,0.07,0.6372,0
0.353,0.222,0.4615,0
0.245,0.8798,0.8764,1
0.9633,0.6478,0.4243,1
0.0185,0.7106,0.103,0
0.2236,0.3699,0.4712,0
0.7285,0.1491,0.2927,0
0.8154,0.5951,0.3374,1
0.7925,0.021,0.8699,0
0.3864,0.5984,0.8646,1
0.5658,0.8999,0.3902,1
0.6448,0.7129,0.1108,1
0.9666,0.4239,0.1803,1
0.6569,0.2811,0.3955,0
0.9643,0.7306,0.0218,1
0.8685,0.9376,0.7715,1
0.7717,0.2281,0.1272,1
0.8344,0.8583,0.6069,1
0.4907,0.7193,0.7793,1
0.2929,0.6013,0.9176,0
0.8634,0.141,0.8957,1
0.1822,0.4939,0.1155,0
0.9049,0.8622,0.6534,1
0.1897,0.917,0.2359,1
0.8753,0.7509,0.8656,1
0.634,0.8098,0.4737,1
0.6484,0.3856,0.5741,1
0.5183,0.5753,0.633,1
0.9806,0.1434,0.5652,1
0.755,0.819,0.5598,1
0.9755,0.67,0.2317,1
0.4156,0.2535,0.5056,0
0.0189,0.3089,0.0472,0
0.3391,0.6189,0.5668,1
0.4246,0.5682,0.4305,1
0.9163,0.2509,0.3802,1
0.5004,0.0786,0.5825,0
0.4119,0.0268,0.169,0
0.9923,0.9267,0.6875,1
0.2248,0.6111,0.0622,0
0.0007,0.0218,0.0603,0
0.3424,0.9402,0.189,1
0.9507,0.2829,0.4678,1
0.8383,0.3747,0.9643,1
0.5445,0.3305,0.0623,0
