x1,x2,x3,label
0.1603,0.5347,0.4023,0
0.5244,0.0896,0.5671,0
0.3472,0.3697,0.7945,0
0.9229,0.0262,0.1459,0
0.6089,0.3181,0.8317,0
0.0368,0.7912,0.7353,0
0.8808,0.6787,0.4276,1
0.3197,0.3363,0.8753,0
0.7089,0.1837,0.4982,0
0.9374,0.0177,0.7146,1
0.733,0.4727,0.9913,1
0.3109,0.8626,0.735,1
0.3074,0.7982,0.7393,1
0.7695,0.3434,0.2723,1
0.9548,0.2595,0.5892,1
0.1338,0.964,0.3391,0
0.6154,0.2463,0.5474,0
0.2293,0.3888,0.0598,0
0.5351,0.9546,0.43,1
0.9326,0.0224,0.4199,1
0.3789,0.7648,0.0359,0
0.9893,0.4624,0.3785,1
0.4393,0.1174,0.166,0
0.7009,0.513,0.4072,1
0.4726,0.6356,0.0083,0
0.5587,0.5873,0.1255,0
0.821,0.8722,0.9471,1
0.1848,0.4049,0.862,0
0.111,0.545,0.3866,0
0.8235,0.485,0.1868,1
0.1346,0.8082,0.7837,0
0.1217,0.3532,0.7874,0
0.0975,0.1809,0.5993,0
0.1834,0.6421,0.2384,0
0.2717,0.4458,0.2456,0
0.2853,0.5446,0.1454,0
0.3086,0.8766,0.3476,0
0.1085,0.339,0.6996,0
0.6556,0.0072,0.6979,0
0.5107,0.308,0.2238,0
0.4968,0.455,0.8715,1
0.2827,0.4544,0.9488,0
0.9209,0.6887,0.7914,1
0.3526,0.2465,0.138,0
0.3948,0.4223,0.8734,0
0.6719,0.7766,0.3367,1
0.0543,0.8003,0.4841,0
0.8097,0.1541,0.5253,1
0.9206,0.2759,0.1476,1
0.6899,0.3363,0.1965,0
0.8798,0.0737,0.4045,1
0.2646,0.5502,0.3209,0
0.9088,0.2327,0.4778,1
0.4806,0.7621,0.5329,1
0.7281,0.9501,0.435,1
0.0377,0.0555,0.8526,0
0.8246,0.4737,0.4925,1
0.2802,0.2212,0.26,0
0.1064,0.7804,0.3442,0
0.6976,0.8481,0.218,1
0.2707,0.7488,0.6831,0
0.3353,0.4958,0.6015,0
0.7325,0.9786,0.3587,1
0.5097,0.1802,0.138,0
0.1027,0.5312,0.9412,0
0.9635,0.0255,0.1571,1
0.0708,0.9065,0.3538,0
0.545,0.4747,0.4329,0
0.0443,0.3557,0.4692,0
0.709,0.4255,0.9203,1
0.4726,0.6135,0.1516,0
0.8972,0.3675,0.6469,1
0.6012,0.2032,0.68,0
0.499,0.8302,0.1152,0
0.0089,0.3427,0.3391,0
0.8276,0.8212,0.0075,1
0.2346,0.8214,0.4683,0
0.5682,0.9489,0.3401,1
0.7169,0.8942,0.9993,1
0.1628,0.3938,0.6863,0
0.7721,0.7913,0.3533,1
0.7429,0.2956,0.5087,1
0.7135,0.0908,0.7355,1
0.5523,0.5523,0.1513,0
0.1712,0.4214,0.3604,0
0.4417,0.1506,0.3178,0
0.2551,0.122,0.9443,0
0.3265,0.419,0.1499,0
0.5618,0.0891,0.9576,0
0.7588,0.0262,0.1229,0
0.5792,0.8917,0.7233,1
0.8065,0.998,0.6378,1
0.2244,0.9573,0.9694,1
0.1664,0.2811,0.0071,0
0.0906,0.3948,0.6865,0
0.6501,0.5033,0.4807,1
0.829,0.3324,0.1758,0
0.776,0.8006,0.7562,1
0.4688,0.2741,0.3527,0
0.7297,0.3811,0.4377,1
0.7462,0.964,0.6316,1
0.2893,0.9454,0.3809,0
0.2411,0.7966,0.9021,1
0.3387,0.7445,0.6998,0
0.0501,0.4864,0.5932,0
0.668,0.2864,0.5953,1
0.8373,0.5,0.7811,1
0.7894,0.6309,0.4366,1
