x1,x2,x3,label
0.8977,0.8499,0.6278,1
0.1003,0.0592,0.8552,0
0.5477,0.1217,0.8446,0
0.5682,0.8394,0.109,1
0.2333,0.0973,0.2245,0
0.6256,0.1652,0.1156,0
0.7402,0.7663,0.6382,1
0.5926,0.4639,0.994,1
0.8431,0.8956,0.8652,1
0.1591,0.6573,0.2389,0
0.0165,0.0557,0.9124,0
0.7011,0.7965,0.0798,1
0.273,0.4192,0.7072,0
0.4045,0.415,0.9245,0
0.3856,0.5534,0.1014,0
0.0493,0.5829,0.3665,0
0.5179,0.1965,0.8175,0
0.3784,0.154,0.886,0
0.4971,0.3577,0.9523,0
0.8217,0.8348,0.5536,1
0.2264,0.5974,0.732,0
0.3578,0.8359,0.579,1
0.3037,0.1605,0.3549,0
0.8187,0.6118,0.0323,1
0.4671,0.5037,0.6989,1
0.5886,0.2291,0.481,0
0.7614,0.1123,0.0538,0
0.5838,0.7448,0.2172,1
0.7027,0.1089,0.4443,0
0.0724,0.895,0.3595,1
0.6988,0.331,0.5104,1
0.5329,0.3191,0.7841,0
0.4653,0.3738,0.7096,0
0.7431,0.7209,0.7439,1
0.6641,0.187,0.9345,0
0.1956,0.9599,0.6534,1
0.8812,0.7574,0.6366,1
0.3233,0.3821,0.3317,0
0.7807,0.29,0.5604,1
0.2286,0.9717,0.9121,1
0.674,0.8681,0.1326,1
0.767,0.8745,0.8143,1
0.9982,0.1859,0.8636,1
0.3135,0.6986,0.6613,1
0.4862,0.9088,0.271,1
0.8835,0.499,0.183,1
0.1858,0.8549,0.1421,1
0.6909,0.5567,0.97,1
0.1098,0.1376,0.1728,0
0.7081,0.3901,0.9859,1
0.7064,0.1408,0.3764,0
0.5094,0.891,0.3958,1
0.3913,0.2201,0.9065,0
0.0293,0.9735,0.8249,1
0.6849,0.7668,0.8383,1
0.1492,0.7111,0.9566,0
0.8992,0.5324,0.432,1
0.7531,0.8953,0.1472,1
0.6507,0.1189,0.2445,0
0.1454,0.6679,0.1636,0
0.9899,0.3968,0.6407,1
0.927,0.6161,0.5159,1
0.6363,0.1692,0.6271,0
0.7345,0.1921,0.1151,0
0.6315,0.5531,0.7528,1
0.3,0.2638,0.2663,0
0.5891,0.3828,0.935,1
0.0587,0.6136,0.899,0
0.4159,0.9015,0.0636,1
0.9546,0.4694,0.1799,1
0.3234,0.4713,0.3544,0
0.9619,0.0354,0.0582,1
0.0729,0.2747,0.3789,0
0.1023,0.6316,0.4617,0
0.585,0.1347,0.2493,0
0.0875,0.0643,0.0441,0
0.2684,0.3625,0.6986,0
0.1195,0.7981,0.77,0
0.8694,0.4434,0.003,1
0.922,0.7536,0.4862,1
