x1,x2,x3,label
0.4507,0.4722,0.7114,0
0.1805,0.1606,0.1382,0
0.4858,0.6486,0.0409,1
0.3891,0.6632,0.5566,1
0.2409,0.67,0.6555,0
0.2529,0.5156,0.6034,0
0.5764,0.9791,0.1372,1
0.9724,0.6407,0.1171,1
0.9689,0.0479,0.8791,1
0.6958,0.6501,0.8497,1
0.665,0.2767,0.4524,0
0.6036,0.5107,0.6949,1
0.2796,0.3856,0.1352,0
0.7933,0.8242,0.5191,1
0.0489,0.4344,0.6668,0
0.0901,0.4907,0.0046,0
0.9736,0.4069,0.2403,1
0.6079,0.1893,0.8385,0
0.4603,0.3824,0.847,0
0.7771,0.5851,0.8591,1
0.3443,0.1864,0.2039,0
0.44,0.6635,0.0755,1
0.9887,0.9521,0.6441,1
0.6331,0.7988,0.7388,1
0.3256,0.4603,0.9641,0
0.384,0.6525,0.7185,1
0.5531,0.8773,0.7631,1
0.7308,0.459,0.9296,1
0.0301,0.6358,0.5576,0
0.5538,0.1839,0.4212,0
0.3701,0.4959,0.5586,0
0.7663,0.8878,0.2521,1
0.9102,0.8413,0.4355,1
0.5573,0.9276,0.2871,1
0.8297,0.7759,0.2926,1
0.3289,0.0585,0.6272,0
0.2254,0.0876,0.8581,0
0.794,0.303,0.7946,1
0.7888,0.4201,0.7396,1
0.172,0.2436,0.8576,0
0.5248,0.5051,0.9304,1
0.0477,0.1447,0.3554,0
0.6054,0.0448,0.7062,0
0.3989,0.8714,0.1534,1
0.8822,0.5555,0.2634,1
0.6195,0.5537,0.7602,1
0.0416,0.7069,0.4959,0
0.2,0.792,0.6504,1
0.859,0.0651,0.0845,0
0.3109,0.5896,0.9949,0
0.8059,0.8739,0.8716,1
0.6939,0.7354,0.5844,1
0.2886,0.7148,0.361,1
0.9084,0.2447,0.1444,1
0.0282,0.6851,0.035,0
0.1893,0.8957,0.4483,1
0.5881,0.1204,0.1877,0
0.1903,0.2991,0.6654,0
0.517,0.8356,0.2906,1
0.938,0.5912,0.8213,1
0.5345,0.0728,0.9007,0
0.5038,0.6577,0.0181,1
0.8317,0.2883,0.4528,1
0.4957,0.8554,0.2401,1
0.238,0.6606,0.5801,0
0.785,0.0467,0.0689,0
0.1387,0.0796,0.8588,0
0.6564,0.519,0.4127,1
0.2645,0.1965,0.6997,0
0.5098,0.9924,0.541,1
0.8242,0.6726,0.5811,1
0.9172,0.4424,0.4098,1
0.8629,0.7407,0.5384,1
0.3636,0.1989,0.4195,0
0.0885,0.7405,0.2442,0
0.6002,0.5638,0.3215,1
0.9173,0.7933,0.7778,1
0.3322,0.2608,0.2249,0
0.406,0.5783,0.6236,1
0.0753,0.7345,0.8533,0
