x1,x2,x3
42.53,28.63,55.39
50.36,36.01,61.57
51.02,25.04,75.21
49.79,32.44,91.15
41.4,26.41,71.4
40.5,37.94,72.2
48.43,22.26,79.25
46.62,23.74,54.04
34.56,27.14,81.71
49.88,26.94,74.05
41.63,37.52,75.3
59.97,31.53,68.48
42.74,36.13,68.33
46.87,35.28,68.5
50.86,27.44,53.24
49.09,10.15,62.78
59.7,38.16,70.65
40.93,26.78,70.29
67.57,29.34,69.66
47.71,30.89,66.6
41.73,29.61,59.4
38.12,42.37,70.45
41.29,29.17,67.97
53.89,30.96,43.55
38.79,27.63,63.79
45.81,25.24,77.4
49.83,31.25,62.05
51.12,28.82,75.39
50.99,33.29,80.17
51.09,29.54,69.64
57.14,36.31,74.78
69.82,32.74,78.34
38.21,22.18,81.97
48.03,27.32,69.18
48.11,28.55,73.05
67.18,25.5,58.35
40.77,27.45,66.04
50.27,31.39,67.62
55.66,27.46,71.36
50.28,24.8,73.14
54.63,38.34,70.36
54.53,30.74,61.85
50.32,37.41,65.1
41.42,19.6,75.91
51.36,26.77,58.32
48.18,32.43,66.64
52.21,34.57,75.02
44.51,24.25,89.45
63.03,30.65,57.4
57.51,34.39,60.47
41.43,24.99,76.1
55.67,34.44,53.07
58.57,29.58,63.63
55.89,29.72,82.65
43.15,42.09,81.73
52.78,25.32,63.72
52.96,35.78,71.01
49.75,31.2,76.28
48.62,35.92,66.04
47.8,31.2,90.32
62.24,24.27,57.49
33.18,30.58,63.28
52.34,23.97,62.64
54.49,24.85,66.43
47.78,27.34,65.71
40.91,27.16,65.74
46.78,40.93,64.17
46.8,33.76,69.15
48.64,27.78,61.78
61.72,36.57,60.25
49.54,29.19,73.5
48.15,24.85,63.47
56.04,35.75,55.51
46.41,26.18,54.91
54.65,23.45,69.05
45.94,33.11,68.43
46.34,27.21,66.53
43.92,32.43,50.95
61.44,29.95,63.66
53.04,31.52,67.33
50.94,41.39,59.99
47.36,28.9,74.42
35.04,21.47,55.96
46.22,28.96,54.94
45.59,34.42,66.0
43.02,35.53,85.84
51.61,27.11,65.19
46.12,27.24,70.45
46.36,37.27,69.5
53.15,31.29,63.75
48.59,29.81,68.5
57.51,27.3,75.62
48.12,34.0,72.53
40.38,35.1,73.35
50.19,24.36,69.9
46.59,40.4,66.32
45.6,31.32,68.1
47.14,32.57,61.56
55.34,28.54,76.35
54.07,28.96,59.51
67.53,26.75,63.75
50.43,24.88,81.31
57.9,36.5,63.85
74.14,35.77,79.21
51.45,25.77,80.14
60.68,18.75,83.92
51.01,29.05,79.5
48.23,29.83,63.89
57.14,28.8,74.0
68.75,38.21,59.18
40.42,24.52,82.92
57.2,18.25,60.09
38.58,40.58,87.19
50.83,20.6,65.41
42.15,27.37,62.65
46.22,27.83,90.59
42.7,26.35,59.02
46.55,29.55,80.38
50.52,22.91,79.35
47.06,31.07,53.74
