x1,x2,x3,label
0.075,0.2151,0.707,0
0.0297,0.0716,0.214,0
0.7823,0.7116,0.4261,1
0.2469,0.0647,0.9487,0
0.5825,0.3486,0.4137,0
0.4023,0.8839,0.6072,1
0.8992,0.7041,0.6727,1
0.289,0.4184,0.6478,0
0.8184,0.1357,0.0636,1
0.3516,0.1268,0.1367,0
0.5904,0.0138,0.8556,0
0.7712,0.5635,0.1422,1
0.6605,0.7944,0.6995,1
0.6116,0.3252,0.1502,0
0.9436,0.2355,0.791,1
0.2279,0.1461,0.3636,0
0.3933,0.6284,0.7121,1
0.7021,0.0483,0.0133,0
0.4772,0.1619,0.5383,0
0.2412,0.9534,0.2108,1
0.1537,0.9078,0.7174,1
0.2092,0.9675,0.65,1
0.0585,0.9229,0.8331,1
0.9625,0.9215,0.6788,1
0.5741,0.8596,0.7171,1
0.4809,0.0801,0.2267,0
0.5941,0.1684,0.5441,0
0.7702,0.9969,0.9847,1
0.382,0.8297,0.9925,1
0.304,0.1498,0.0254,0
0.2982,0.6332,0.6154,0
0.7327,0.9632,0.1899,1
0.2133,0.9869,0.6252,1
0.7322,0.525,0.9582,1
0.8783,0.2934,0.0041,1
0.1776,0.3507,0.2298,0
0.9197,0.0581,0.0512,1
0.1774,0.4534,0.5794,0
0.3445,0.701,0.0088,1
0.5595,0.1726,0.0613,0
0.3947,0.2901,0.9793,0
0.7879,0.2844,0.4529,1
0.9769,0.6123,0.378,1
0.2241,0.8976,0.6039,1
0.7127,0.2183,0.9929,0
0.3546,0.0689,0.1671,0
0.7461,0.9056,0.0211,1
0.6091,0.1085,0.1278,0
0.3558,0.6912,0.0693,1
0.9685,0.6253,0.399,1
0.3992,0.2408,0.3245,0
0.5874,0.9483,0.2377,1
0.3772,0.492,0.9742,0
0.7376,0.5033,1.0,1
0.2873,0.5045,0.3925,0
0.1492,0.8163,0.692,1
0.9311,0.8929,0.7632,1
0.4743,0.6561,0.2246,1
0.2509,0.9251,0.6543,1
0.8007,0.8969,0.3284,1
0.6197,0.7381,0.494,1
0.6548,0.2091,0.6776,0
0.285,0.2989,0.2429,0
0.7326,0.3669,0.1581,1
0.7058,0.8887,0.9125,1
0.6985,0.2879,0.781,1
0.3443,0.4959,0.7974,0
0.0163,0.0453,0.3913,0
0.3248,0.9923,0.6177,1
0.8086,0.5888,0.5178,1
0.7862,0.8028,0.2211,1
0.7623,0.57,0.6735,1
0.3671,0.2271,0.7827,0
0.2104,0.0637,0.2815,0
0.867,0.114,0.7848,1
0.1648,0.6618,0.9984,0
0.8157,0.7924,0.4498,1
0.6232,0.0145,0.0899,0
0.0795,0.343,0.4135,0
0.7955,0.8458,0.2324,1
