x1,x2,x3,label
0.5116,0.1428,0.5751,0
0.1237,0.571,0.7577,0
0.6621,0.403,0.4562,1
0.8281,0.8309,0.0435,1
0.0547,0.7131,0.5388,0
0.5793,0.9835,0.6824,1
0.0909,0.7636,0.9692,0
0.5917,0.7676,0.809,1
0.6416,0.7888,0.0498,1
0.4552,0.8843,0.4267,1
0.101,0.0082,0.0565,0
0.2794,0.0449,0.815,0
0.7907,0.7451,0.5213,1
0.6992,0.105,0.1511,0
0.7987,0.5451,0.2924,1
0.5213,0.392,0.3585,0
0.4037,0.3755,0.1761,0
0.7225,0.1673,0.1895,0
0.4844,0.9959,0.5187,1
0.6491,0.7271,0.8517,1
0.1014,0.471,0.8303,0
0.1087,0.3293,0.7226,0
0.937,0.0392,0.2462,1
0.0877,0.6247,0.4475,0
0.2631,0.3373,0.6098,0
0.9777,0.6027,0.105,1
0.6662,0.8125,0.441,1
0.8561,0.7676,0.1004,1
0.4616,0.1301,0.378,0
0.9912,0.7458,0.1427,1
0.5039,0.7539,0.2094,1
0.5144,0.7047,0.2855,1
0.1752,0.0478,0.1876,0
0.6226,0.6164,0.8847,1
0.3073,0.7015,0.8185,1
0.0379,0.9408,0.8422,1
0.3281,0.8947,0.9825,1
0.2907,0.4259,0.994,0
0.813,0.009,0.6947,0
0.7886,0.907,0.3134,1
0.7921,0.6485,0.2259,1
0.6011,0.0324,0.3098,0
0.7993,0.8369,0.2086,1
0.1749,0.8984,0.8578,1
0.6132,0.3296,0.9213,0
0.5185,0.4277,0.086,0
0.0439,0.7382,0.7529,0
0.9698,0.5991,0.7801,1
0.1827,0.1763,0.3488,0
0.4539,0.9304,0.715,1
0.73,0.1421,0.7605,0
0.6841,0.0633,0.3998,0
0.5418,0.3575,0.1931,0
0.0264,0.8419,0.524,0
0.4536,0.675,0.4326,1
0.2215,0.6631,0.6092,0
0.6057,0.7939,0.9541,1
0.2818,0.1585,0.7445,0
0.6086,0.5639,0.7105,1
0.0601,0.7529,0.7608,0
0.1085,0.4436,0.7714,0
0.3251,0.8067,0.7144,1
0.0149,0.7434,0.8005,0
0.8159,0.919,0.6668,1
0.1113,0.3541,0.9949,0
0.5199,0.3994,0.5176,0
0.9035,0.3784,0.1805,1
0.8084,0.8379,0.7497,1
0.9605,0.2833,0.4083,1
0.0155,0.8444,0.408,0
0.174,0.346,0.5753,0
0.0866,0.532,0.0694,0
0.6813,0.48,0.636,1
0.6066,0.9893,0.3771,1
0.7268,0.4737,0.5058,1
0.6249,0.6099,0.5127,1
0.3034,0.7152,0.3185,1
0.0271,0.7009,0.1,0
0.416,0.6832,0.4347,1
0.8488,0.373,0.3216,1
