x1,x2,x3,label
0.3327,0.4568,0.0307,0
0.5313,0.4473,0.0692,1
0.1239,0.547,0.1721,0
0.3331,0.5116,0.5633,0
0.3135,0.1545,0.8598,0
0.0842,0.7469,0.6436,0
0.6442,0.8179,0.2332,1
0.5868,0.8721,0.0785,1
0.7867,0.0099,0.6443,0
0.5171,0.4975,0.2999,1
0.3126,0.1441,0.7278,0
0.5317,0.5065,0.3366,1
0.5475,0.9101,0.7355,1
0.0865,0.1461,0.7835,0
0.9619,0.2381,0.438,1
0.7344,0.7458,0.6298,1
0.7288,0.851,0.5941,1
0.9751,0.2183,0.6603,1
0.7969,0.9117,0.7835,1
0.7086,0.9398,0.7908,1
0.961,0.7117,0.3943,1
0.9487,0.8443,0.8215,1
0.4994,0.7513,0.1239,1
0.8384,0.7917,0.4093,1
0.829,0.4222,0.8403,1
0.0526,0.8428,0.7029,0
0.4375,0.257,0.6584,0
0.7593,0.1327,0.7171,0
0.6112,0.5421,0.9639,1
0.4863,0.1222,0.0073,0
0.0492,0.7321,0.3449,0
0.5501,0.369,0.211,0
0.5987,0.6457,0.248,1
0.4972,0.1269,0.8483,0
0.2614,0.2564,0.0777,0
0.1436,0.6932,0.2507,0
0.9054,0.9587,0.6736,1
0.9183,0.035,0.4654,1
0.2144,0.2144,0.2779,0
0.2017,0.3804,0.3777,0
0.6499,0.2616,0.406,0
0.3963,0.7186,0.2368,1
0.6848,0.93,0.9192,1
0.1491,0.0544,0.2164,0
0.8641,0.7917,0.2411,1
0.2957,0.4325,0.5792,0
0.1722,0.2654,0.0234,0
0.2764,0.3719,0.9987,0
0.9005,0.1603,0.0097,1
0.3759,0.128,0.595,0
0.165,0.2594,0.7837,0
0.3041,0.7228,0.6898,1
0.4599,0.155,0.8775,0
0.9788,0.0245,0.3933,1
0.6129,0.2538,0.1671,0
0.605,0.9647,0.3024,1
0.6832,0.4725,0.5336,1
0.4463,0.3057,0.7107,0
0.5458,0.8694,0.4436,1
0.8086,0.4637,0.1173,1
0.1967,0.6464,0.5786,0
0.2373,0.0474,0.2038,0
0.3349,0.0242,0.3931,0
0.6566,0.2652,0.4263,0
0.4179,0.735,0.214,1
0.6054,0.7167,0.5679,1
0.7202,0.4628,0.2311,1
0.1443,0.2729,0.6349,0
0.5096,0.6957,0.4773,1
0.7115,0.1034,0.4678,0
0.8289,0.7175,0.3569,1
0.3807,0.9712,0.9353,1
0.5049,0.2118,0.9827,0
0.8013,0.9803,0.1237,1
0.7562,0.1256,0.5189,0
0.5132,0.0394,0.5562,0
0.9537,0.5813,0.6759,1
0.3431,0.1939,0.2352,0
0.4375,0.9476,0.6765,1
0.4384,0.3928,0.925,0
