x1,x2,x3,label
0.2816,0.6118,0.5336,0
0.0401,0.7649,0.4426,0
0.532,0.3168,0.5064,0
0.4107,0.8438,0.616,1
0.6618,0.4308,0.6244,1
0.6273,0.593,0.7989,1
0.1951,0.4184,0.0161,0
0.0704,0.5639,0.1869,0
0.7024,0.455,0.613,1
0.5517,0.776,0.7299,1
0.1545,0.014,0.8503,0
0.6699,0.5407,0.6064,1
0.6056,0.3575,0.5403,1
0.293,0.5111,0.904,0
0.6685,0.2117,0.4762,0
0.4377,0.7375,0.6338,1
0.7567,0.6305,0.032,1
0.5138,0.5387,0.6205,1
0.1404,0.3382,0.1086,0
0.3951,0.8869,0.7817,1
0.9846,0.8123,0.9316,1
0.2941,0.0824,0.8157,0
0.1629,0.0734,0.2751,0
0.8134,0.5533,0.1703,1
0.8511,0.4902,0.934,1
0.4263,0.0221,0.6086,0
0.0648,0.205,0.3829,0
0.6661,0.2203,0.6906,0
0.7649,0.1732,0.8467,0
0.8796,0.9589,0.6905,1
0.5645,0.3067,0.9075,0
0.4908,0.8568,0.6365,1
0.5275,0.18,0.6255,0
0.255,0.1328,0.4759,0
0.7153,0.7319,0.3704,1
0.3947,0.9324,0.2113,1
0.0066,0.7645,0.9784,0
0.6423,0.2906,0.5634,0
0.4964,0.0869,0.2289,0
0.7759,0.2468,0.692,1
0.1668,0.9791,0.0402,1
0.2065,0.3273,0.2473,0
0.201,0.0125,0.4743,0
0.7172,0.1335,0.2292,0
0.5939,0.8869,0.3417,1
0.3857,0.4596,0.5989,0
0.5455,0.046,0.3753,0
0.5614,0.4856,0.7948,1
0.7557,0.1745,0.8286,0
0.2158,0.4104,0.4384,0
0.5735,0.365,0.2104,0
0.0295,0.4081,0.186,0
0.1593,0.381,0.5286,0
0.8064,0.4861,0.6765,1
0.7397,0.0878,0.121,0
0.6202,0.5307,0.7952,1
0.4007,0.9349,0.6136,1
0.8188,0.0616,0.6786,0
0.9669,0.3039,0.97,1
0.2645,0.4951,0.4805,0
0.1446,0.8569,0.801,1
0.3236,0.781,0.3509,1
0.3926,0.5669,0.2557,1
0.7972,0.1939,0.4962,1
0.5423,0.3851,0.2456,0
0.1737,0.4073,0.3872,0
0.2377,0.5524,0.583,0
0.4429,0.5778,0.9685,1
0.668,0.446,0.0079,1
0.107,0.1258,0.0331,0
0.6611,0.1899,0.0759,0
0.6721,0.1664,0.9614,0
0.8614,0.4237,0.6889,1
0.4615,0.11,0.4885,0
0.7386,0.3057,0.3153,1
0.7765,0.7315,0.784,1
0.1949,0.6246,0.6893,0
0.1875,0.1985,0.436,0
0.1099,0.0037,0.0309,0
0.5235,0.527,0.5447,1
