x1,x2,x3
63.92,22.16,81.53
51.22,21.44,69.84
45.81,31.42,75.46
43.49,28.39,52.5
53.0,31.81,68.1
46.0,33.94,76.81
44.2,34.58,82.0
27.7,22.46,79.4
64.19,32.64,78.21
57.94,32.8,71.85
53.2,24.71,61.85
49.38,35.12,64.16
44.11,26.61,66.83
48.95,37.03,80.72
54.42,22.32,64.96
53.6,22.98,92.69
51.63,36.23,67.24
44.56,27.98,84.96
56.78,35.41,65.05
57.15,30.61,64.24
46.96,24.35,66.68
46.12,25.67,68.26
51.34,35.18,68.12
60.58,31.09,67.28
54.95,35.65,66.87
44.66,32.08,51.34
50.35,31.8,96.72
56.69,30.35,80.73
62.65,28.17,81.49
51.06,36.09,75.3
46.09,29.28,64.83
44.62,23.5,61.42
56.08,15.64,70.45
52.34,26.7,80.44
58.45,29.48,93.32
56.81,24.21,66.16
46.7,38.39,79.63
51.68,31.03,68.0
53.08,32.83,73.11
59.65,31.42,72.91
38.52,24.77,74.76
49.17,37.2,73.4
52.17,39.3,82.59
50.96,22.46,66.64
55.88,27.55,69.01
50.18,31.02,79.13
57.84,31.9,57.01
44.49,24.52,64.81
60.61,23.98,68.19
55.28,27.57,83.15
41.19,37.54,84.3
49.93,37.65,85.91
47.89,35.66,70.1
51.77,37.92,72.72
53.41,26.44,75.77
56.88,28.49,62.82
43.02,28.62,71.51
48.68,23.55,72.22
59.89,32.74,63.52
52.47,24.6,61.4
53.28,27.73,71.62
50.11,31.88,81.8
47.71,18.19,91.58
61.18,34.7,65.78
50.2,28.55,82.69
55.81,27.26,80.49
35.51,38.81,48.98
51.62,25.28,76.03
44.76,34.17,73.01
50.36,39.18,74.57
48.96,35.51,49.33
52.25,34.97,73.17
43.0,27.82,73.89
58.54,24.07,50.76
55.69,36.19,57.42
61.46,33.22,77.4
63.87,28.4,70.15
50.19,24.49,79.32
55.92,32.56,84.83
48.65,40.09,62.55
37.35,41.46,83.19
45.6,29.63,70.54
40.23,24.69,59.02
38.89,34.51,60.5
46.9,30.09,71.25
52.5,28.76,73.32
54.62,35.34,77.53
42.73,38.19,66.51
56.36,23.43,73.28
72.91,33.43,63.35
51.0,31.22,71.42
63.83,34.19,66.8
42.19,23.59,98.59
53.33,31.8,58.64
44.7,38.84,53.66
58.83,34.02,70.69
51.81,30.58,86.62
45.14,25.01,94.75
47.71,21.41,77.07
45.15,25.05,60.86
44.26,26.67,66.93
45.46,35.8,52.84
41.53,35.95,53.93
52.3,27.39,60.36
50.95,33.95,59.37
54.15,26.99,74.81
55.67,27.75,59.22
38.86,29.45,71.43
43.27,25.33,72.05
58.47,35.7,64.98
43.58,32.67,66.44
53.81,31.04,58.11
39.53,33.11,60.64
61.89,24.68,65.11
48.44,20.02,68.66
50.66,32.67,89.69
59.29,23.74,71.72
59.04,28.1,88.7
37.45,30.76,62.72
54.23,39.32,62.23
