x1,x2,x3,label
0.0527,0.2245,0.447,0
0.8911,0.3676,0.5506,1
0.5896,0.6289,0.9028,1
0.9795,0.8447,0.35,1
0.494,0.5031,0.8636,1
0.709,0.2993,0.4818,1
0.9345,0.7481,0.9692,1
0.3907,0.7695,0.4196,1
0.0673,0.6562,0.3297,0
0.4107,0.9908,0.5385,1
0.3195,0.2713,0.6257,0
0.1196,0.6873,0.7955,0
0.1609,0.7713,0.4101,0
0.49,0.3515,0.5258,0
0.6418,0.8403,0.6442,1
0.3287,0.8816,0.3458,1
0.9015,0.7332,0.022,1
0.5189,0.2409,0.5781,0
0.0168,0.2096,0.0196,0
0.997,0.2668,0.0633,1
0.8789,0.825,0.2876,1
0.5455,0.9692,0.1552,1
0.3751,0.5083,0.9278,0
0.728,0.1345,0.0002,0
0.3757,0.9569,0.0108,1
0.7728,0.503,0.909,1
0.9054,0.155,0.1814,1
0.1067,0.664,0.5958,0
0.41,0.2782,0.3341,0
0.3585,0.585,0.0559,0
0.0485,0.3247,0.3617,0
0.1473,0.6119,0.599,0
0.0765,0.5378,0.6814,0
0.201,0.2116,0.1871,0
0.6141,0.2727,0.3221,0
0.6427,0.3591,0.0227,1
0.2944,0.8735,0.701,1
0.7167,0.4217,0.9855,1
0.1307,0.6999,0.9702,0
0.8701,0.6468,0.4183,1
0.8063,0.0004,0.1439,0
0.5816,0.3585,0.3872,0
0.2406,0.4247,0.4037,0
0.7527,0.7201,0.989,1
0.8443,0.0918,0.5159,0
0.4039,0.9217,0.5981,1
0.5808,0.4989,0.4006,1
0.2114,0.7916,0.9072,1
0.5133,0.042,0.6247,0
0.3974,0.2,0.9116,0
0.6397,0.251,0.74,0
0.3737,0.9448,0.8577,1
0.9931,0.119,0.5909,1
0.737,0.5649,0.1607,1
0.1871,0.9698,0.4967,1
0.1091,0.31,0.6749,0
0.7203,0.2394,0.8899,1
0.922,0.9815,0.1157,1
0.072,0.6948,0.059,0
0.0291,0.8017,0.3211,0
0.7464,0.1013,0.3059,0
0.2021,0.3448,0.553,0
0.9321,0.8599,0.7072,1
0.7309,0.5456,0.464,1
0.9219,0.059,0.8725,1
0.0614,0.3607,0.6137,0
0.5519,0.0431,0.1077,0
0.9697,0.5656,0.1116,1
0.245,0.5342,0.6694,0
0.9437,0.7948,0.1132,1
0.8061,0.605,0.5949,1
0.9619,0.1293,0.5763,1
0.7991,0.6412,0.428,1
0.997,0.8491,0.7431,1
0.8499,0.8516,0.5341,1
0.8389,0.1227,0.6599,1
0.8291,0.2594,0.9419,1
0.8901,0.2894,0.7936,1
0.6437,0.628,0.3178,1
0.4891,0.9348,0.6585,1
