x1,x2,x3,label
0.7503,0.2742,0.2778,1
0.9533,0.7282,0.1393,1
0.6969,0.1438,0.2393,0
0.9606,0.7152,0.7243,1
0.6819,0.8977,0.2123,1
0.2942,0.1279,0.2701,0
0.205,0.2667,0.0279,0
0.9111,0.0261,0.9811,0
0.019,0.3646,0.0197,0
0.1126,0.9697,0.1486,1
0.2937,0.8299,0.1608,1
0.3303,0.384,0.6505,0
0.0352,0.0851,0.624,0
0.8459,0.2446,0.4792,1
0.8023,0.011,0.535,0
0.5727,0.5507,0.5748,1
0.4639,0.347,0.4017,0
0.5376,0.5789,0.1644,1
0.842,0.9407,0.0464,1
0.1894,0.3831,0.6922,0
0.8802,0.9692,0.0791,1
0.4441,0.3032,0.8314,0
0.0324,0.3892,0.0464,0
0.3701,0.4733,0.5592,0
0.4241,0.137,0.7297,0
0.117,0.5003,0.1686,0
0.4004,0.504,0.2125,0
0.2867,0.979,0.4307,1
0.4703,0.1614,0.9459,0
0.3105,0.1589,0.9004,0
0.0153,0.1683,0.0823,0
0.0417,0.2157,0.533,0
0.124,0.0408,0.3621,0
0.8505,0.0397,0.2728,0
0.7864,0.3498,0.2827,1
0.8187,0.6102,0.2616,1
0.4566,0.2223,0.0073,0
0.1356,0.1977,0.5164,0
0.6732,0.525,0.9033,1
0.7669,0.5033,0.7978,1
0.7039,0.6513,0.3249,1
0.0253,0.9218,0.6344,0
0.5591,0.4646,0.3569,1
0.2788,0.789,0.4026,1
0.2794,0.6316,0.2608,0
0.5657,0.0219,0.3371,0
0.5109,0.9567,0.9708,1
0.4876,0.6009,0.7614,1
0.1514,0.3725,0.1558,0
0.0475,0.0431,0.5859,0
0.0485,0.6378,0.382,0
0.7964,0.5337,0.5991,1
0.7187,0.1816,0.3896,0
0.6768,0.0426,0.0655,0
0.5542,0.695,0.0147,1
0.2301,0.4009,0.0954,0
0.0386,0.4942,0.4775,0
0.5589,0.0018,0.9487,0
0.9324,0.8505,0.8676,1
0.0192,0.9448,0.8301,1
0.9532,0.5482,0.1636,1
0.7373,0.254,0.3419,1
0.0138,0.6015,0.9479,0
0.0634,0.8131,0.4936,0
0.1982,0.7162,0.508,0
0.3181,0.7728,0.8283,1
0.1648,0.55,0.3311,0
0.5507,0.6831,0.4893,1
0.9736,0.7463,0.7867,1
0.7479,0.701,0.447,1
0.5182,0.7748,0.2062,1
0.2184,0.1419,0.6358,0
0.9061,0.4892,0.8334,1
0.8401,0.8131,0.053,1
0.8194,0.2211,0.5583,1
0.2006,0.5342,0.7231,0
0.9744,0.4847,0.1147,1
0.2158,0.459,0.2493,0
0.8706,0.2258,0.642,1
0.9463,0.2266,0.2127,1
