x1,x2,x3,label
0.7228,0.292,0.9245,1
0.5648,0.6985,0.6516,1
0.6797,0.735,0.5364,1
0.4736,0.554,0.7036,1
0.8715,0.9925,0.7859,1
0.2233,0.2257,0.36,0
0.2454,0.0265,0.3714,0
0.67,0.797,0.6593,1
0.9241,0.6834,0.887,1
0.4715,0.2882,0.2949,0
0.4751,0.2029,0.7388,0
0.0538,0.1284,0.8891,0
0.1099,0.534,0.5808,0
0.0501,0.5729,0.7424,0
0.0484,0.7367,0.6342,0
0.5583,0.2199,0.69,0
0.95,0.8128,0.9774,1
0.0823,0.4358,0.5873,0
0.4325,0.603,0.598,0
0.9795,0.1844,0.7061,1
0.4003,0.2042,0.994,0
0.8144,0.1945,0.5833,1
0.7284,0.1438,0.6232,0
0.2142,0.3294,0.643,0
0.0952,0.309,0.1917,0
0.163,0.9696,0.1199,0
0.4156,0.591,0.1732,0
0.7368,0.6782,0.7989,1
0.2767,0.1437,0.0766,0
0.2297,0.1608,0.6612,0
0.314,0.2479,0.9296,0
0.8965,0.9689,0.4407,1
0.1245,0.4717,0.1886,0
0.3161,0.6133,0.356,0
0.9186,0.4363,0.869,1
0.1048,0.0779,0.0036,0
0.8395,0.0353,0.9879,1
0.8389,0.0058,0.5618,1
0.2548,0.0996,0.5714,0
0.2651,0.7506,0.9319,1
0.9147,0.7496,0.9901,1
0.4715,0.5003,0.7838,0
0.9511,0.5351,0.4053,1
0.5858,0.927,0.503,1
0.2368,0.3675,0.9226,0
0.168,0.2586,0.3217,0
0.5782,0.0313,0.5755,0
0.5643,0.9133,0.7473,1
0.4869,0.2617,0.5505,0
0.9538,0.3112,0.8963,1
0.2446,0.1266,0.5843,0
0.1648,0.5461,0.5789,0
0.176,0.4074,0.0864,0
0.498,0.6239,0.3942,0
0.2053,0.1597,0.2873,0
0.8361,0.0371,0.7876,1
0.1313,0.4852,0.4998,0
0.1777,0.6955,0.8594,0
0.6924,0.8782,0.7491,1
0.909,0.4101,0.6678,1
0.2144,0.3418,0.3083,0
0.6724,0.3238,0.5034,1
0.7674,0.3923,0.4731,1
0.7478,0.7811,0.9844,1
0.0806,0.1198,0.404,0
0.9221,0.0316,0.6055,1
0.0791,0.9093,0.7853,0
0.8883,0.4499,0.2687,1
0.3733,0.9797,0.7366,1
0.3135,0.0103,0.7681,0
0.9552,0.0501,0.3802,1
0.1309,0.5022,0.1089,0
0.9457,0.251,0.9871,1
0.2324,0.3969,0.6813,0
0.0451,0.8245,0.4776,0
0.8017,0.569,0.4649,1
0.2311,0.205,0.6021,0
0.0356,0.6345,0.757,0
0.9663,0.4272,0.8024,1
0.7883,0.62,0.8216,1
0.2434,0.198,0.4957,0
0.4305,0.2738,0.2726,0
0.2228,0.4379,0.5554,0
0.8494,0.7145,0.3642,1
0.5286,0.2568,0.9768,1
0.8662,0.8488,0.1817,1
0.4186,0.8021,0.9826,1
0.3162,0.9209,0.9175,1
0.5754,0.7171,0.0565,1
0.4508,0.8287,0.148,0
0.4405,0.0581,0.6744,0
0.9325,0.0632,0.0175,0
0.3093,0.2027,0.4477,0
0.7007,0.7149,0.2284,1
0.0771,0.911,0.1539,0
0.7816,0.4648,0.9089,1
0.1606,0.9977,0.952,1
0.5582,0.1988,0.4018,0
0.8887,0.4909,0.027,1
0.2774,0.7538,0.8484,1
0.2452,0.2041,0.942,0
0.3488,0.5258,0.5015,0
0.0704,0.8743,0.9618,1
0.3771,0.2318,0.7692,0
0.5577,0.6749,0.8437,1
0.5866,0.926,0.8703,1
0.578,0.5757,0.3333,1
0.9386,0.4293,0.3298,1
0.031,0.859,0.5183,0
0.7528,0.2789,0.7003,1
0.0005,0.2167,0.4375,0
0.2697,0.6833,0.1217,0
0.201,0.2964,0.5549,0
0.5825,0.7891,0.1,1
