x1,x2,x3,label
0.8684,0.9122,0.136,1
0.8338,0.1674,0.0103,1
0.8717,0.264,0.581,1
0.7348,0.0742,0.7969,0
0.9325,0.1705,0.2026,1
0.2969,0.1989,0.0258,0
0.3733,0.6754,0.6218,1
0.4854,0.9173,0.0006,1
0.3729,0.4894,0.0272,0
0.7119,0.8182,0.6713,1
0.199,0.5984,0.6792,0
0.9962,0.9943,0.1535,1
0.7088,0.1419,0.4253,0
0.9167,0.2215,0.8283,1
0.5191,0.7991,0.2619,1
0.4355,0.1279,0.5645,0
0.0838,0.1097,0.0398,0
0.877,0.6898,0.4254,1
0.6488,0.5442,0.6103,1
0.7463,0.2814,0.8439,1
0.1783,0.0791,0.1223,0
0.8733,0.9673,0.0229,1
0.9084,0.9519,0.512,1
0.8541,0.5281,0.7999,1
0.0398,0.6064,0.7285,0
0.3561,0.1305,0.4735,0
0.9864,0.9582,0.7419,1
0.893,0.2226,0.6344,1
0.7747,0.4923,0.0642,1
0.0619,0.1245,0.2295,0
0.1862,0.7419,0.7519,0
0.4987,0.9456,0.6611,1
0.5482,0.8572,0.6957,1
0.9398,0.9481,0.6761,1
0.5422,0.2058,0.1147,0
0.0018,0.1163,0.4967,0
0.6348,0.6252,0.0749,1
0.3583,0.2054,0.0769,0
0.509,0.5401,0.0144,1
0.3573,0.4309,0.8895,0
0.5842,0.1745,0.2195,0
0.3392,0.0331,0.216,0
0.5084,0.5127,0.3558,1
0.5959,0.4996,0.2411,1
0.0768,0.7645,0.7678,0
0.1278,0.9446,0.4413,1
0.7631,0.1777,0.9874,0
0.5859,0.9646,0.6851,1
0.4283,0.0811,0.1683,0
0.9161,0.6822,0.5411,1
0.2476,0.3854,0.1671,0
0.0352,0.1278,0.9919,0
0.6844,0.8537,0.5373,1
0.1738,0.0704,0.5417,0
0.2887,0.2976,0.0289,0
0.2017,0.6517,0.6123,0
0.205,0.6652,0.7783,0
0.1549,0.9698,0.3422,1
0.8759,0.7167,0.1503,1
0.42,0.8432,0.1985,1
0.1761,0.1937,0.1178,0
0.3888,0.9496,0.6723,1
0.1663,0.2958,0.2261,0
0.9833,0.3851,0.0614,1
0.4331,0.9322,0.8841,1
0.2271,0.2531,0.3869,0
0.3022,0.7318,0.179,1
0.3574,0.643,0.2595,1
0.1168,0.4585,0.7534,0
0.0517,0.4329,0.4956,0
0.6349,0.1755,0.1598,0
0.3436,0.1821,0.7447,0
0.9758,0.1303,0.9509,1
0.9586,0.6636,0.9135,1
0.4699,0.726,0.443,1
0.6519,0.1736,0.0864,0
0.8395,0.6884,0.9085,1
0.5926,0.0703,0.1647,0
0.0045,0.8997,0.7497,0
0.4866,0.3953,0.652,0
