x1,x2,x3,label
0.5564,0.7661,0.8886,1
0.3635,0.7909,0.0203,1
0.1508,0.8514,0.3257,1
0.9823,0.3538,0.4163,1
0.4804,0.0916,0.373,0
0.7854,0.9348,0.4171,1
0.5008,0.0196,0.0487,0
0.9555,0.3655,0.7405,1
0.101,0.6194,0.9731,0
0.2763,0.2293,0.2245,0
0.6462,0.2286,0.6611,0
0.109,0.9659,0.0858,1
0.5225,0.2026,0.1624,0
0.0757,0.2263,0.5783,0
0.6699,0.1349,0.7814,0
0.7012,0.5958,0.5665,1
0.2789,0.5487,0.2095,0
0.8232,0.9759,0.4041,1
0.5537,0.9845,0.9145,1
0.5169,0.2131,0.2351,0
0.5825,0.0083,0.0597,0
0.4424,0.2185,0.9278,0
0.0323,0.6744,0.5308,0
0.2958,0.9694,0.8779,1
0.9753,0.9048,0.4378,1
0.1565,0.6517,0.2675,0
0.982,0.0515,0.2483,1
0.6974,0.9286,0.1569,1
0.3514,0.7983,0.3596,1
0.4259,0.9627,0.5177,1
0.3349,0.8663,0.5713,1
0.2377,0.1564,0.2007,0
0.5481,0.9508,0.4072,1
0.348,0.4052,0.1617,0
0.6498,0.3052,0.0801,1
0.2399,0.4246,0.2623,0
0.043,0.0598,0.5989,0
0.2999,0.724,0.4693,1
0.5062,0.7856,0.2362,1
0.6062,0.7166,0.0466,1
0.4792,0.2358,0.7865,0
0.6106,0.2159,0.5305,0
0.8022,0.8266,0.1021,1
0.8502,0.7699,0.3088,1
0.3911,0.0147,0.569,0
0.7093,0.4503,0.8647,1
0.0478,0.2895,0.7506,0
0.9013,0.4001,0.9484,1
0.5551,0.9998,0.7142,1
0.7443,0.1557,0.5981,0
0.7297,0.3134,0.1803,1
0.2634,0.8726,0.1617,1
0.7849,0.8336,0.2563,1
0.1998,0.0301,0.3105,0
0.6068,0.566,0.2009,1
0.0406,0.7911,0.8953,0
0.4566,0.4018,0.9448,0
0.8186,0.09,0.9769,0
0.0012,0.2644,0.2903,0
0.6438,0.9688,0.8018,1
0.6432,0.2613,0.4101,0
0.0166,0.5493,0.0709,0
0.1914,0.0952,0.2316,0
0.5036,0.2071,0.8451,0
0.6601,0.3425,0.3057,1
0.3899,0.6277,0.3712,1
0.3778,0.5172,0.9057,0
0.5303,0.9842,0.9791,1
0.3344,0.2395,0.653,0
0.0559,0.3508,0.9811,0
0.9476,0.6386,0.2611,1
0.7524,0.5703,0.9397,1
0.6739,0.0877,0.3477,0
0.2586,0.3068,0.8671,0
0.5819,0.7842,0.5098,1
0.2109,0.8812,0.5033,1
0.5693,0.3666,0.0638,0
0.2819,0.9613,0.0089,1
0.352,0.8244,0.8909,1
0.0058,0.6192,0.2982,0
