x1,x2,x3,label
0.0756,0.106,0.7718,0
0.6289,0.358,0.7155,1
0.9621,0.8017,0.7151,1
0.7664,0.1392,0.9757,0
0.8275,0.9731,0.09,1
0.3301,0.4537,0.479,0
0.9856,0.0285,0.6601,1
0.3296,0.5873,0.1786,0
0.1944,0.8297,0.8014,1
0.2644,0.0533,0.8414,0
0.3131,0.3161,0.5776,0
0.2517,0.8005,0.1941,1
0.3081,0.2475,0.8121,0
0.3248,0.4425,0.1857,0
0.1585,0.8093,0.9365,1
0.6034,0.7021,0.0829,1
0.3704,0.6617,0.4388,1
0.0343,0.2946,0.9016,0
0.9326,0.1003,0.8954,1
0.3673,0.8401,0.7854,1
0.1644,0.3139,0.2071,0
0.611,0.4759,0.6766,1
0.5187,0.4659,0.5577,1
0.8687,0.7784,0.7138,1
0.4067,0.9908,0.8829,1
0.5938,0.1988,0.9207,0
0.4976,0.0872,0.7547,0
0.1276,0.8143,0.8513,0
0.1558,0.7203,0.3896,0
0.8648,0.786,0.8783,1
0.7879,0.3357,0.9773,1
0.5605,0.788,0.3032,1
0.3225,0.3484,0.0318,0
0.3489,0.2877,0.3775,0
0.1418,0.2527,0.9362,0
0.075,0.8855,0.8601,1
0.0892,0.2378,0.6078,0
0.3759,0.1003,0.4648,0
0.7003,0.1281,0.8394,0
0.8713,0.7436,0.2995,1
0.3989,0.1633,0.2207,0
0.6851,0.2085,0.7826,0
0.5812,0.7627,0.0321,1
0.5681,0.3828,0.2553,1
0.5796,0.2657,0.6104,0
0.4068,0.6929,0.7529,1
0.362,0.3828,0.4508,0
0.8911,0.6997,0.6739,1
0.9179,0.582,0.8188,1
0.8409,0.7311,0.0137,1
0.1562,0.2884,0.9044,0
0.4232,0.8508,0.4425,1
0.5393,0.7383,0.8516,1
0.5246,0.5746,0.3635,1
0.3534,0.7697,0.4786,1
0.7438,0.5416,0.5795,1
0.9088,0.3162,0.7178,1
0.5535,0.5488,0.872,1
0.2121,0.8476,0.6594,1
0.7597,0.3721,0.7012,1
0.0165,0.0816,0.3724,0
0.5479,0.6882,0.0809,1
0.1253,0.5726,0.3376,0
0.1676,0.765,0.8145,0
0.4145,0.8437,0.4736,1
0.7049,0.7687,0.6962,1
0.8854,0.3387,0.5909,1
0.8272,0.8234,0.5007,1
0.3524,0.4246,0.4736,0
0.2081,0.2719,0.1493,0
0.0729,0.2804,0.1154,0
0.0518,0.4534,0.738,0
0.8178,0.2564,0.5917,1
0.088,0.7691,0.0012,0
0.3874,0.6085,0.0182,1
0.957,0.288,0.5376,1
0.4747,0.3985,0.7273,0
0.5914,0.7342,0.063,1
0.6076,0.3232,0.1979,0
0.5115,0.3553,0.6782,0
