time,value
1,122.09
2,111.32
3,102.3
4,124.57
5,112.76
6,118.77
7,119.53
8,125.01
9,107.95
10,127.46
11,117.93
12,119.37
13,122.19
14,140.7
15,114.81
16,120.1
17,132.05
18,140.46
19,124.75
20,136.23
21,139.77
22,136.94
23,140.09
24,147.77
25,144.85
26,144.78
27,153.18
28,136.04
29,147.96
30,138.08
31,163.06
32,152.88
33,159.7
34,158.87
35,165.92
36,171.05
37,164.54
38,164.7
39,169.74
40,168.3
41,175.63
42,182.48
43,167.83
44,174.67
45,174.11
46,190.24
47,191.05
48,182.95
49,205.78
50,191.07
51,189.18
52,197.04
53,191.41
54,189.07
55,176.82
56,201.73
57,205.04
58,206.28
59,211.77
60,212.44
