x1,x2,x3,label
0.9648,0.9718,0.0986,1
0.9337,0.6061,0.3651,1
0.533,0.4843,0.2953,1
0.0421,0.6997,0.8861,0
0.6705,0.9592,0.0808,1
0.382,0.4583,0.0937,0
0.4025,0.1434,0.3593,0
0.8005,0.1769,0.2472,1
0.2325,0.4862,0.9081,0
0.3307,0.0875,0.3784,0
0.1438,0.9655,0.4644,1
0.0795,0.1308,0.4366,0
0.8697,0.5548,0.9815,1
0.2743,0.6264,0.1952,0
0.7832,0.7408,0.7776,1
0.363,0.6777,0.2584,1
0.8625,0.1337,0.6379,1
0.4934,0.5965,0.3742,1
0.3979,0.7498,0.6668,1
0.078,0.4811,0.9195,0
0.0419,0.4005,0.6891,0
0.4406,0.6247,0.6866,1
0.9777,0.7501,0.1419,1
0.2632,0.684,0.6614,0
0.2955,0.5957,0.0676,0
0.5876,0.8171,0.3356,1
0.8831,0.9225,0.1106,1
0.5447,0.8294,0.2874,1
0.151,0.8212,0.6302,1
0.554,0.8209,0.1926,1
0.5663,0.0703,0.2433,0
0.5467,0.448,0.8124,1
0.5259,0.4054,0.7387,0
0.8379,0.5891,0.6053,1
0.8379,0.8777,0.4904,1
0.317,0.2267,0.5947,0
0.0265,0.1335,0.1473,0
0.5287,0.9901,0.2157,1
0.7168,0.8729,0.8105,1
0.4627,0.2325,0.0094,0
0.5958,0.3989,0.3267,1
0.3195,0.4904,0.1009,0
0.2145,0.7115,0.8932,0
0.572,0.4452,0.7327,1
0.6429,0.4812,0.971,1
0.3397,0.8729,0.6935,1
0.0166,0.5657,0.4238,0
0.7194,0.4473,0.6098,1
0.847,0.2489,0.8882,1
0.7992,0.1529,0.7605,1
0.8585,0.2037,0.2066,1
0.7671,0.7736,0.8551,1
0.2516,0.1411,0.3694,0
0.6254,0.573,0.7209,1
0.1981,0.16,0.3661,0
0.3509,0.547,0.9838,0
0.0361,0.2919,0.9443,0
0.5153,0.756,0.1286,1
0.1468,0.4875,0.0467,0
0.054,0.2103,0.3718,0
0.3603,0.4454,0.7916,0
0.7695,0.3056,0.2451,1
0.874,0.6749,0.5734,1
0.157,0.6286,0.16,0
0.9542,0.0279,0.4444,1
0.49,0.4834,0.5446,1
0.8452,0.9128,0.779,1
0.5798,0.1002,0.2526,0
0.6088,0.1371,0.9863,0
0.4368,0.3957,0.2372,0
0.1449,0.5285,0.2798,0
0.646,0.3441,0.2294,1
0.8411,0.8887,0.7515,1
0.4058,0.7115,0.7029,1
0.8968,0.3718,0.3591,1
0.9709,0.9076,0.8442,1
0.1612,0.2941,0.5499,0
0.4445,0.0088,0.164,0
0.6239,0.5318,0.2888,1
0.4234,0.8437,0.5256,1
