x1,x2,x3,label
0.9293,0.3463,0.9537,1
0.1766,0.6986,0.9134,0
0.2,0.5274,0.7989,0
0.0066,0.7279,0.0184,0
0.4621,0.5011,0.8238,1
0.0312,0.1146,0.4891,0
0.6932,0.1701,0.9245,0
0.5916,0.6163,0.3494,1
0.4727,0.2511,0.9216,0
0.142,0.7902,0.1908,0
0.7753,0.8784,0.1936,1
0.2539,0.0313,0.25,0
0.7554,0.2438,0.2683,1
0.1398,0.7541,0.4008,0
0.915,0.6491,0.2639,1
0.0637,0.5866,0.0682,0
0.903,0.1913,0.5773,1
0.3147,0.4271,0.4184,0
0.1524,0.1151,0.8029,0
0.4461,0.2228,0.6162,0
0.7997,0.0583,0.8865,0
0.7975,0.7479,0.7085,1
0.2469,0.6171,0.4235,0
0.7995,0.7802,0.3743,1
0.187,0.9828,0.9821,1
0.088,0.214,0.4121,0
0.8897,0.8954,0.3562,1
0.3646,0.1416,0.7669,0
0.8316,0.7867,0.9465,1
0.9569,0.2156,0.2969,1
0.7517,0.1097,0.3301,0
0.2752,0.0359,0.7699,0
0.2834,0.4673,0.9734,0
0.1145,0.1417,0.412,0
0.0807,0.4238,0.0582,0
0.9718,0.737,0.6445,1
0.4807,0.0407,0.3132,0
0.1073,0.7614,0.8032,0
0.8728,0.9001,0.5947,1
0.1842,0.3795,0.811,0
0.5605,0.8085,0.7519,1
0.1423,0.8602,0.0173,1
0.4255,0.9535,0.7463,1
0.7929,0.1034,0.8766,0
0.6186,0.4228,0.537,1
0.8042,0.5166,0.9262,1
0.8993,0.3272,0.5147,1
0.7419,0.9688,0.3362,1
0.796,0.4442,0.703,1
0.2696,0.7873,0.7717,1
0.3686,0.0137,0.7549,0
0.736,0.8565,0.8367,1
0.3108,0.2636,0.4471,0
0.7999,0.893,0.0965,1
0.1875,0.3801,0.773,0
0.6187,0.7654,0.2165,1
0.3453,0.3265,0.1775,0
0.4656,0.5255,0.6967,1
0.2242,0.7722,0.7142,1
0.0735,0.3532,0.1592,0
0.5499,0.7577,0.4237,1
0.9751,0.989,0.0164,1
0.024,0.2171,0.4778,0
0.479,0.9183,0.4887,1
0.962,0.255,0.3786,1
0.1912,0.6807,0.5955,0
0.6589,0.496,0.38,1
0.299,0.6812,0.4623,1
0.3223,0.4893,0.4374,0
0.003,0.6924,0.4608,0
0.1449,0.0979,0.1046,0
0.5763,0.2007,0.7957,0
0.3337,0.2375,0.8667,0
0.5268,0.0915,0.9002,0
0.1774,0.6891,0.8747,0
0.3917,0.9447,0.9559,1
0.8655,0.7553,0.5384,1
0.6221,0.5556,0.0498,1
0.5193,0.0178,0.291,0
0.3833,0.6246,0.5807,1
