x1,x2,x3,label
0.0152,0.8071,0.6268,0
0.33,0.4099,0.9756,0
0.797,0.7565,0.2591,1
0.7407,0.2488,0.4298,1
0.21,0.3273,0.1468,0
0.944,0.2568,0.2697,1
0.477,0.0397,0.0422,0
0.3055,0.6269,0.6374,0
0.9386,0.6384,0.5633,1
0.1153,0.3172,0.8536,0
0.761,0.3978,0.7773,1
0.8788,0.8147,0.6106,1
0.4165,0.7463,0.9109,1
0.5426,0.9778,0.6797,1
0.6055,0.3651,0.1059,1
0.2258,0.9555,0.034,1
0.7641,0.9944,0.6896,1
0.7918,0.724,0.7381,1
0.6867,0.9161,0.251,1
0.5956,0.0704,0.048,0
0.7772,0.3055,0.9289,1
0.017,0.1672,0.7544,0
0.1034,0.6004,0.9689,0
0.5353,0.4249,0.414,1
0.6362,0.7664,0.377,1
0.3199,0.9463,0.4804,1
0.6992,0.6783,0.5841,1
0.8683,0.7873,0.2387,1
0.0459,0.8777,0.5072,0
0.145,0.4286,0.1135,0
0.6507,0.3264,0.6718,1
0.2232,0.3119,0.6113,0
0.5819,0.6475,0.6237,1
0.5716,0.4315,0.1571,1
0.7669,0.9798,0.1466,1
0.8341,0.8072,0.9821,1
0.9437,0.2284,0.5221,1
0.6252,0.9534,0.8407,1
0.4559,0.5035,0.0434,1
0.8915,0.6557,0.9812,1
0.1558,0.2492,0.1709,0
0.4004,0.4663,0.8132,0
0.5376,0.2652,0.9555,0
0.001,0.1399,0.4707,0
0.6277,0.5929,0.5091,1
0.4008,0.6031,0.1386,1
0.9356,0.3828,0.1742,1
0.8359,0.3366,0.0683,1
0.959,0.4071,0.166,1
0.3658,0.5937,0.2182,1
0.8338,0.5359,0.4068,1
0.4405,0.3493,0.8016,0
0.7607,0.5633,0.2605,1
0.6225,0.0673,0.1669,0
0.9136,0.9525,0.1548,1
0.2549,0.6124,0.5852,0
0.2412,0.6618,0.7398,0
0.6579,0.3766,0.2555,1
0.2241,0.4738,0.2323,0
0.1412,0.9181,0.7639,1
0.3102,0.4044,0.9429,0
0.2488,0.1719,0.244,0
0.3312,0.6521,0.5496,1
0.4831,0.873,0.3608,1
0.7358,0.8722,0.0783,1
0.6632,0.5751,0.2794,1
0.1754,0.9873,0.6669,1
0.7109,0.3027,0.7454,1
0.4914,0.4955,0.004,1
0.029,0.5338,0.9375,0
0.7065,0.6884,0.7385,1
0.1287,0.5413,0.3163,0
0.7039,0.2381,0.2181,0
0.6089,0.335,0.885,0
0.8197,0.9239,0.1272,1
0.5425,0.025,0.1604,0
0.9224,0.082,0.7662,1
0.3346,0.97,0.215,1
0.8309,0.5669,0.8148,1
0.6233,0.0324,0.0109,0
