x1,x2,x3,label
0.9361,0.8308,0.2913,1
0.9689,0.0687,0.9523,1
0.1302,0.0316,0.5628,0
0.8763,0.3967,0.6529,1
0.8074,0.1499,0.6047,1
0.2664,0.8132,0.3647,0
0.315,0.3516,0.8155,0
0.1186,0.8688,0.7416,0
0.6707,0.8575,0.9797,1
0.9453,0.6419,0.7912,1
0.7477,0.0105,0.8768,1
0.4634,0.7872,0.3339,0
0.454,0.6087,0.3937,0
0.9806,0.3116,0.7456,1
0.7921,0.8376,0.7341,1
0.9406,0.4299,0.699,1
0.1599,0.4952,0.2623,0
0.1079,0.0631,0.0758,0
0.6144,0.6659,0.7805,1
0.6023,0.2649,0.4369,0
0.9719,0.8598,0.8695,1
0.0741,0.4554,0.7242,0
0.263,0.7081,0.7209,0
0.7353,0.9711,0.7203,1
0.2318,0.9247,0.7006,0
0.4152,0.9419,0.4443,1
0.6561,0.6923,0.5962,1
0.7189,0.1615,0.8951,1
0.806,0.6951,0.8527,1
0.5892,0.3697,0.6508,1
0.3823,0.039,0.6544,0
0.7421,0.3173,0.7258,1
0.5727,0.5763,0.9085,1
0.3079,0.3039,0.1969,0
0.8483,0.2454,0.8208,1
0.1613,0.5901,0.83,0
0.8805,0.15,0.8824,1
0.9225,0.8417,0.3584,1
0.9666,0.3248,0.4396,1
0.8209,0.4308,0.614,1
0.8876,0.1425,0.8772,1
0.0456,0.3787,0.5854,0
0.4699,0.9714,0.1113,0
0.721,0.0918,0.9656,1
0.1677,0.4593,0.254,0
0.6691,0.4483,0.2748,1
0.7763,0.2947,0.0823,0
0.5557,0.7789,0.9931,1
0.9036,0.8748,0.1994,1
0.2185,0.4287,0.4481,0
0.9432,0.0182,0.0618,0
0.5344,0.2398,0.6119,0
0.5761,0.083,0.319,0
0.1344,0.6743,0.7499,0
0.0347,0.2443,0.5104,0
0.5883,0.8112,0.3876,1
0.5181,0.1758,0.3697,0
0.9638,0.211,0.0271,1
0.1015,0.209,0.4291,0
0.7216,0.3964,0.0781,0
0.792,0.8838,0.1073,1
0.553,0.663,0.6977,1
0.4984,0.1526,0.1387,0
0.2647,0.7916,0.5791,0
0.1986,0.9722,0.3754,0
0.9492,0.9378,0.8165,1
0.6537,0.0855,0.4641,0
0.3624,0.6856,0.599,0
0.4997,0.6041,0.8486,1
0.3043,0.1413,0.7649,0
0.1379,0.5289,0.9451,0
0.3373,0.4274,0.4124,0
0.3925,0.2138,0.3966,0
0.8441,0.552,0.5188,1
0.8616,0.2622,0.2026,1
0.3213,0.5791,0.3102,0
0.2364,0.5401,0.636,0
0.4253,0.8002,0.5866,1
0.7355,0.6879,0.173,1
0.4594,0.441,0.8009,1
0.8224,0.2087,0.2387,1
0.9623,0.0973,0.5626,1
0.2873,0.9372,0.8544,1
0.8557,0.8942,0.3558,1
0.9878,0.5937,0.252,1
0.4469,0.9486,0.6093,1
0.304,0.6094,0.5809,0
0.2069,0.1828,0.5432,0
0.4665,0.3503,0.8905,1
0.9741,0.4278,0.1873,1
0.1257,0.7881,0.3284,0
0.8485,0.6523,0.723,1
0.6311,0.7185,0.5754,1
0.2906,0.5186,0.532,0
0.5682,0.7456,0.3427,1
0.8139,0.0895,0.857,1
0.6524,0.8995,0.5102,1
0.7846,0.6431,0.3739,1
0.5465,0.313,0.6139,0
0.9483,0.0742,0.2127,1
0.1474,0.9791,0.4477,0
0.2637,0.0765,0.6663,0
0.3548,0.5774,0.2881,0
0.8693,0.9349,0.4692,1
0.1452,0.5299,0.8702,0
0.6764,0.8813,0.8089,1
0.8934,0.1353,0.273,0
0.4685,0.0454,0.0834,0
0.5071,0.1035,0.7661,0
0.7548,0.0718,0.9657,1
0.9439,0.7588,0.6195,1
0.3908,0.9207,0.4928,1
0.8716,0.6874,0.7671,1
0.5371,0.9821,0.5377,1
0.4218,0.8404,0.1809,1
0.2188,0.876,0.6113,0
0.8396,0.8853,0.6125,1
0.8385,0.4341,0.5397,1
0.6943,0.4189,0.329,0
0.9171,0.9574,0.599,1
0.8851,0.7156,0.8457,1
0.4146,0.7222,0.8962,1
0.276,0.7692,0.1244,0
0.2857,0.6794,0.6592,0
0.3173,0.4605,0.3705,0
0.2817,0.3147,0.5762,0
0.7782,0.8075,0.5872,1
0.5418,0.5679,0.6475,1
0.1021,0.8622,0.744,0
0.019,0.1498,0.1618,0
0.3002,0.1897,0.5146,0
0.2707,0.7097,0.2396,0
0.4817,0.4497,0.3786,0
0.7332,0.7564,0.3409,1
0.3156,0.4497,0.9212,0
0.9972,0.5205,0.7639,1
0.6246,0.6334,0.7455,1
0.091,0.2435,0.6349,0
0.8895,0.6148,0.4005,1
0.4904,0.9419,0.9063,1
0.2458,0.1842,0.7422,0
0.6935,0.3034,0.1906,0
0.2813,0.3655,0.6377,0
0.682,0.7085,0.609,1
0.0632,0.1706,0.3059,0
0.7235,0.2556,0.8365,1
0.3709,0.6947,0.9924,1
0.3894,0.0039,0.9298,0
0.9723,0.831,0.4166,1
0.0665,0.9117,0.4698,0
0.666,0.0428,0.3059,0
0.7563,0.8755,0.3409,1
0.8607,0.5809,0.3289,1
0.0331,0.0534,0.4935,0
0.6965,0.2856,0.2726,0
0.744,0.6819,0.4594,1
0.8962,0.5413,0.7898,1
0.1308,0.2052,0.2338,0
0.6739,0.9251,0.4024,1
0.5234,0.7179,0.3887,1
0.2708,0.5935,0.697,0
0.3415,0.1614,0.595,0
0.4477,0.7618,0.8431,1
0.9502,0.0381,0.9797,1
0.7037,0.0477,0.4621,0
0.5731,0.0568,0.7763,0
0.1663,0.6766,0.9136,0
0.1912,0.4448,0.3747,0
0.0123,0.6239,0.6001,0
0.5561,0.6929,0.4158,1
0.7902,0.718,0.3666,1
0.6907,0.6214,0.0141,1
0.4952,0.8208,0.1956,1
0.1265,0.2073,0.9069,0
0.8534,0.2025,0.8411,1
0.5108,0.6448,0.7325,1
0.4511,0.0584,0.3319,0
0.4756,0.3611,0.372,0
0.9316,0.6947,0.6019,1
0.5052,0.7922,0.0282,0
