time,value
1,101.91
2,106.8
3,102.75
4,97.44
5,104.31
6,104.91
7,109.6
8,108.97
9,124.29
10,112.68
11,117.51
12,97.27
13,118.9
14,124.53
15,125.7
16,130.92
17,128.06
18,140.41
19,131.27
20,148.11
21,140.2
22,146.55
23,142.61
24,130.13
25,131.15
26,153.3
27,158.49
28,150.09
29,169.54
30,150.75
31,141.18
32,160.95
33,171.75
34,158.27
35,158.13
36,168.57
37,170.01
38,171.74
39,157.57
40,179.83
41,165.76
42,166.43
43,182.0
44,172.59
45,183.39
46,196.37
47,162.93
48,183.68
49,188.52
50,195.18
51,182.7
52,185.07
53,200.4
54,202.19
55,195.27
56,210.48
57,207.32
58,192.95
59,204.28
60,214.87
